Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,0,0,0,0,0,1,19,404,908,444,371,730
2011,431,137,98,9,2,7,152,252,141,68,18,9
2012,1,0,136,47,1,24,227,361,275,90,9,1
2013,0,0,0,0,0,2,7,370,361,109,5,0
2014,0,0,0,0,0,6,235,208,18,4,0,0
2015,0,0,0,0,0,0,1,15,7,1,0,0
2016,0,0,0,0,1,7,287,567,806,972,370,18
2017,0,0,0,0,0,0,0,48,125,20,5,30
2018,1,0,0,0,0,0,1,56,27,4,0,0
2019,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
