Wavenumber, Abs
7999.27978515625,0.4827166199684143
7995.422851794868,0.4793061912059784
7991.5659184334845,0.47366440296173096
7987.708985072102,0.4666450321674347
7983.852051710719,0.46833494305610657
7979.995118349337,0.47700974345207214
7976.138184987954,0.4823259711265564
7972.281251626571,0.4787334203720093
7968.424318265189,0.47906196117401123
7964.567384903806,0.47726377844810486
7960.7104515424235,0.47012171149253845
7956.853518181041,0.47329798340797424
7952.996584819658,0.48090144991874695
7949.139651458276,0.4752603769302368
7945.2827180968925,0.4717220366001129
7941.42578473551,0.47428324818611145
7937.568851374128,0.4706602096557617
7933.711918012745,0.47056612372398376
7929.854984651362,0.47071173787117004
7925.998051289979,0.4720841646194458
7922.141117928597,0.4762740433216095
7918.284184567215,0.4748344421386719
7914.427251205831,0.47358831763267517
7910.570317844449,0.4759679138660431
7906.713384483066,0.4725577235221863
7902.856451121684,0.4718669354915619
7898.999517760301,0.47511881589889526
7895.142584398918,0.47565796971321106
7891.285651037536,0.4757135808467865
7887.428717676153,0.47693347930908203
7883.57178431477,0.475973516702652
7879.714850953388,0.470923513174057
7875.857917592005,0.4690585136413574
7872.000984230623,0.4697776436805725
7868.144050869239,0.4698663651943207
7864.287117507857,0.4754696786403656
7860.430184146475,0.47667309641838074
7856.573250785092,0.4650792181491852
7852.716317423709,0.45852670073509216
7848.859384062326,0.4659724235534668
7845.002450700944,0.474183052778244
7841.145517339562,0.4772295355796814
7837.288583978178,0.4740159511566162
7833.431650616796,0.4732249975204468
7829.574717255413,0.4732111096382141
7825.717783894031,0.4663609564304352
7821.860850532648,0.47171851992607117
7818.003917171265,0.4729251265525818
7814.146983809883,0.4633691608905792
7810.2900504485,0.46956250071525574
7806.433117087117,0.4771205186843872
7802.576183725735,0.476358026266098
7798.719250364352,0.47417959570884705
7794.86231700297,0.4735608696937561
7791.005383641586,0.47605499625205994
7787.148450280204,0.4777449071407318
7783.291516918822,0.4775262773036957
7779.434583557439,0.47254055738449097
7775.577650196056,0.4634328782558441
7771.720716834673,0.4645572602748871
7767.863783473291,0.46761465072631836
7764.0068501119085,0.4671620726585388
7760.149916750525,0.4707737863063812
7756.292983389143,0.47498050332069397
7752.43605002776,0.4709620773792267
7748.579116666378,0.4654694199562073
7744.722183304995,0.46493300795555115
7740.865249943612,0.46883559226989746
7737.00831658223,0.4698846936225891
7733.151383220847,0.46191278100013733
7729.294449859464,0.45905986428260803
7725.437516498082,0.4640819728374481
7721.580583136699,0.46774429082870483
7717.7236497753165,0.4675109386444092
7713.866716413933,0.47082364559173584
7710.009783052551,0.47373899817466736
7706.152849691169,0.4763945937156677
7702.2959163297855,0.4728257954120636
7698.438982968403,0.4685996472835541
7694.58204960702,0.4648231267929077
7690.725116245638,0.4626811444759369
7686.868182884255,0.4657042324542999
7683.011249522872,0.46626386046409607
7679.15431616149,0.4670644998550415
7675.297382800107,0.4698324501514435
7671.4404494387245,0.4727132022380829
7667.583516077342,0.4770434498786926
7663.726582715959,0.4798922836780548
7659.869649354577,0.47719085216522217
7656.0127159931935,0.46882274746894836
7652.155782631811,0.4668041467666626
7648.298849270428,0.4753117561340332
7644.441915909046,0.47325676679611206
7640.5849825476635,0.4683709740638733
7636.72804918628,0.46959659457206726
7632.871115824898,0.46946561336517334
7629.014182463516,0.46832650899887085
7625.1572491021325,0.46924275159835815
7621.30031574075,0.47082433104515076
7617.443382379367,0.4706837832927704
7613.586449017985,0.4723220765590668
7609.7295156566015,0.4709979295730591
7605.872582295219,0.4695136547088623
7602.015648933837,0.4667395353317261
7598.158715572454,0.4648616313934326
7594.301782211071,0.4693213105201721
7590.444848849689,0.4743812680244446
7586.587915488306,0.47566279768943787
7582.730982126924,0.4751274287700653
7578.8740487655405,0.4726136028766632
7575.017115404158,0.4698772132396698
7571.160182042775,0.470895916223526
7567.303248681393,0.47344493865966797
7563.44631532001,0.47031670808792114
7559.589381958627,0.4678516089916229
7555.732448597245,0.46911999583244324
7551.875515235863,0.4713045060634613
7548.018581874479,0.47288602590560913
7544.161648513097,0.47481703758239746
7540.304715151714,0.47197526693344116
7536.447781790332,0.4682267904281616
7532.590848428948,0.46795737743377686
7528.733915067566,0.4697110950946808
7524.876981706184,0.4675639867782593
7521.020048344801,0.46553823351860046
7517.163114983418,0.4701588451862335
7513.306181622036,0.4710771441459656
7509.449248260653,0.46939176321029663
7505.592314899271,0.4703916609287262
7501.735381537887,0.46977540850639343
7497.878448176505,0.46916064620018005
7494.021514815122,0.4695031940937042
7490.16458145374,0.46827974915504456
7486.307648092357,0.46881353855133057
7482.450714730974,0.4699888527393341
7478.593781369592,0.47297945618629456
7474.73684800821,0.46858447790145874
7470.879914646826,0.463034063577652
7467.022981285444,0.4645211398601532
7463.166047924061,0.468452125787735
7459.309114562679,0.47144150733947754
7455.452181201295,0.47153085470199585
7451.595247839913,0.4726531505584717
7447.738314478531,0.47131088376045227
7443.881381117148,0.47038209438323975
7440.024447755765,0.4732402563095093
7436.167514394383,0.4763014316558838
7432.310581033,0.47822096943855286
7428.453647671618,0.4780484437942505
7424.596714310234,0.4728379547595978
7420.739780948852,0.47022780776023865
7416.882847587469,0.47704562544822693
7413.025914226087,0.4823742210865021
7409.168980864704,0.47601088881492615
7405.312047503321,0.47055935859680176
7401.455114141939,0.47462794184684753
7397.5981807805565,0.48255977034568787
7393.741247419173,0.48466628789901733
7389.884314057791,0.4795389473438263
7386.027380696408,0.4727991819381714
7382.1704473350255,0.4671393632888794
7378.313513973642,0.46685728430747986
7374.45658061226,0.47252798080444336
