CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,Inun,C14_0,iC15_0,aC15_0,C14_1,C15_0,iC16_0,C15_1,C16_0,C16_1w11t,C16_1w7t,aC17_0,C16_1,C16_1w9c,C18isomer1,C18isomer2,C18isomer3,C18isomer4,C17_0,me10C16_0,C17_1,C18_0,C18_1n9t,C18_1n9c,C19isomer3,C18_2n6c,me10C18_0,C18_3n3
FCNSW_123_2020-02-05_T0_P3,FCNSW_123,FC NSW 1003,5/2/20,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,n,0.029,0.148,0.015,0.045,0.015,0.074,0.006,0.207,0.045,0.101,0.008,0.05,0.021,0.022,0.013,0.022,0.001,0.004,0,0,0.029,0.005,0.078,0.01,0.017,0.034,0
FCNSW_124_2020-02-05_T0_P4,FCNSW_124,FC NSW 1004,5/2/20,0,4,144.425377,-35.735393,80.269997,4.10999,0,n,0.022,0.14,0.007,0.024,0.015,0.062,0.129,0.19,0.042,0.086,0.008,0.047,0.018,0.017,0.01,0.017,0.002,0.004,0,0,0.024,0.002,0.08,0.01,0.011,0.032,0
FCNSW_125_2020-02-05_T1_P1,FCNSW_125,FC NSW 1011,5/2/20,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,n,0.021,0.078,0.021,0.062,0.007,0.036,0.131,0.188,0.074,0.154,0.015,0.084,0.007,0,0,0,0.001,0.003,0.002,0.009,0.019,0.002,0.061,0,0.021,0.005,0
FCNSW_126_2020-02-05_T1_P2,FCNSW_126,FC NSW 1012,5/2/20,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,n,0.015,0.108,0.007,0.024,0.01,0.053,0.121,0.174,0.028,0.057,0.007,0.044,0.014,0.02,0.013,0.02,0.002,0.003,0,0.001,0.022,0.084,0.072,0.016,0.061,0.022,0.001
FCNSW_127_2020-02-05_T1_P3,FCNSW_127,FC NSW 1013,5/2/20,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,m,0.02,0.119,0.032,0.09,0.011,0.062,0.005,0.189,0.031,0.065,0.008,0.045,0.023,0.017,0.01,0.017,0.004,0.004,0,0.001,0.025,0.083,0.072,0.019,0.022,0.029,0
FCNSW_128_2020-02-05_T1_P4,FCNSW_128,FC NSW 1014,5/2/20,1,4,144.417776,-35.745531,79.559998,3.39999,0,y,0.025,0.151,0.006,0.022,0.016,0.066,0.004,0.22,0.043,0.086,0.007,0.048,0.024,0,0.009,0.015,0.002,0.004,0,0,0.027,0.086,0.076,0.013,0.017,0.035,0
FCNSW_129_2020-02-04_T2_P1,FCNSW_129,FC NSW 1021,4/2/20,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,n,0.026,0.128,0.007,0.024,0.013,0.091,0.006,0.216,0.047,0.098,0.007,0.046,0.021,0.032,0.019,0.032,0.002,0.002,0,0.003,0.028,0.008,0.079,0,0.038,0.029,0
FCNSW_130_2020-02-04_T2_P2,FCNSW_130,FC NSW 1022,4/2/20,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,n,0.021,0.132,0.025,0.073,0.011,0.062,0.126,0.182,0.035,0.02,0.009,0.053,0.017,0.019,0.012,0.019,0.004,0.005,0,0,0.024,0.006,0.081,0.018,0.018,0.027,0
FCNSW_131_2020-02-04_T2_P3,FCNSW_131,FC NSW 1023,4/2/20,2,3,144.384195,-35.780728,80.694283,4.53428,0.674286,m,0.015,0.116,0.004,0.015,0.01,0.051,0.115,0.167,0.034,0.073,0.008,0.049,0.014,0.018,0.011,0.018,0.004,0.007,0,0,0.022,0.092,0.076,0.016,0.037,0.028,0
FCNSW_132_2020-02-04_T2_P4,FCNSW_132,FC NSW 1024,4/2/20,2,4,144.384389,-35.780678,80.019997,3.85999,0,y,0.013,0.125,0.026,0.076,0.011,0.053,0.121,0.175,0.041,0.08,0.007,0.047,0.015,0.017,0.002,0.017,0.003,0.007,0,0,0.022,0.002,0.069,0.01,0.039,0.023,0.001
FCNSW_133_2020-02-04_T3_P1,FCNSW_133,FC NSW 1031,4/2/20,3,1,144.42359,-35.862426,82.900002,6.74,0,n,0.017,0.137,0.026,0.076,0.012,0.068,0.004,0.194,0.045,0.022,0.011,0.064,0.02,0.019,0.012,0.019,0.004,0.006,0,0.001,0.029,0.004,0.098,0.018,0.058,0.033,0.001
FCNSW_134_2020-02-04_T3_P2,FCNSW_134,FC NSW 1032,4/2/20,3,2,144.424764,-35.862395,82.980003,6.82,0.080002,n,0.015,0.124,0.027,0.077,0.012,0.069,0.005,0.181,0.047,0.022,0.009,0.054,0.016,0.022,0.013,0.021,0.002,0.006,0,0.001,0.024,0.095,0.082,0.013,0.025,0.036,0
FCNSW_135_2020-02-04_T3_P3,FCNSW_135,FC NSW 1033,4/2/20,3,3,144.42555,-35.86226,83.300003,7.14,0.400002,n,0.027,0.132,0.032,0.09,0.014,0.064,0.005,0.184,0.046,0.016,0.009,0.05,0.015,0.015,0.009,0.015,0.004,0.006,0,0.001,0.025,0.087,0.075,0.015,0.032,0.032,0
FCNSW_136_2020-02-04_T3_P4,FCNSW_136,FC NSW 1034,4/2/20,3,4,144.42597,-35.862151,83.5,7.34,0.599998,n,0.021,0.145,0.006,0.021,0.014,0.071,0.005,0.213,0.04,0.034,0.011,0.061,0.018,0.002,0,0.002,0.008,0.005,0,0.002,0.032,0.114,0.099,0,0.032,0.043,0
FCNSW_137_2020-02-04_T4_P1,FCNSW_137,FC NSW 1041,4/2/20,4,1,144.34441,-35.74825,80.510002,4.35,1.200005,n,0.025,0.113,0.013,0.038,0.014,0.095,0.008,0.202,0.042,0.087,0.007,0.044,0.019,0.03,0.019,0.03,0.001,0.003,0,0.001,0.033,0.009,0.081,0,0.054,0.03,0
FCNSW_138_2020-02-04_T4_P2,FCNSW_138,FC NSW 1042,4/2/20,4,2,144.34441,-35.74903,79.57,3.41,0.260002,n,0.018,0.106,0.024,0.068,0.013,0.063,0.109,0.158,0.038,0.084,0.006,0.038,0.014,0.02,0.012,0.02,0.001,0.004,0,0.001,0.022,0.073,0.062,0.009,0.014,0.022,0
FCNSW_139_2020-02-04_T4_P3,FCNSW_139,FC NSW 1043,4/2/20,4,3,144.34407,-35.74957,79.440002,3.28,0.130005,n,0.023,0.119,0.028,0.079,0.014,0.049,0.108,0.16,0.033,0.074,0.008,0.046,0.013,0.018,0.011,0.018,0,0.006,0,0.001,0.021,0.064,0.055,0.012,0.013,0.026,0
FCNSW_140_2020-02-04_T4_P4,FCNSW_140,FC NSW 1044,4/2/20,4,4,144.34419,-35.75001,79.309998,3.14999,0,n,0.02,0.121,0.026,0.075,0.014,0.062,0.129,0.185,0.037,0.075,0.007,0.044,0.015,0.02,0.012,0.02,0,0.004,0,0,0.024,0.002,0.065,0.006,0.016,0.02,0.001
FCNSW_141_2020-02-04_T5_P1,FCNSW_141,FC NSW 1051,4/2/20,5,1,144.29449,-35.72734,80.019997,3.85999,1.099998,n,0.024,0.124,0.034,0.032,0.012,0.072,0.004,0.206,0.043,0.085,0.036,0.052,0.052,0.022,0,0,0.004,0.005,0,0.004,0.034,0.009,0.078,0.015,0.029,0.024,0
FCNSW_142_2020-02-04_T5_P2,FCNSW_142,FC NSW 1052,4/2/20,5,2,144.29568,-35.72802,79.650002,3.49,0.730003,n,0.02,0.126,0.025,0.073,0.013,0.065,0.005,0.174,0.05,0.102,0.024,0.048,0.048,0.016,0.01,0.016,0.002,0.007,0.001,0.003,0.024,0.012,0.071,0.012,0.017,0.035,0
FCNSW_143_2020-02-04_T5_P3,FCNSW_143,FC NSW 1053,4/2/20,5,3,144.29662,-35.72855,79.43,3.27,0.510002,n,0.023,0.145,0.029,0.016,0.013,0.069,0.003,0.198,0.037,0.087,0.033,0.053,0.053,0.025,0.014,0.025,0,0.006,0,0.001,0.027,0.013,0.083,0,0.014,0.03,0
FCNSW_144_2020-02-04_T5_P4,FCNSW_144,FC NSW 1054,4/2/20,5,4,144.29732,-35.72876,78.919998,2.75999,0,n,0.022,0.132,0.004,0.016,0.012,0.059,0.047,0.201,0.033,0.071,0.024,0.058,0.06,0.019,0.01,0.019,0.003,0.008,0,0.001,0.025,0.017,0.083,0.019,0.031,0.027,0
FCNSW_145_2020-02-03_T6_P1,FCNSW_145,FC NSW 1061,3/2/20,6,1,144.274284,-35.696733,79.400002,3.24,1.459999,n,0.014,0.125,0.012,0.037,0.01,0.079,0.005,0.171,0.046,0.093,0.038,0.054,0.054,0.033,0.019,0.033,0.006,0.004,0.001,0.005,0.027,0.004,0.074,0,0.028,0.029,0
FCNSW_146_2020-02-03_T6_P2,FCNSW_146,FC NSW 1062,3/2/20,6,2,144.274252,-35.6966,78.470001,2.31,0.529999,m,0.019,0.144,0.008,0.026,0.013,0.071,0.004,0.177,0.048,0.099,0.031,0.053,0.052,0.027,0.017,0.027,0,0.006,0,0.001,0.024,0.004,0.079,0.013,0.022,0.035,0
FCNSW_147_2020-02-03_T6_P3,FCNSW_147,FC NSW 1063,3/2/20,6,3,144.274289,-35.696551,78.050003,1.89,0.110001,y,0.022,0.152,0.006,0.022,0.016,0.065,0.003,0.195,0.048,0.097,0.031,0.061,0.061,0.01,0.015,0.01,0.002,0.008,0,0.006,0.026,0.021,0.065,0.013,0.018,0.027,0
FCNSW_148_2020-02-03_T6_P4,FCNSW_148,FC NSW 1064,3/2/20,6,4,144.274307,-35.696518,77.940002,1.78,0,y,0.026,0.139,0.038,0.11,0.016,0.051,0.043,0.183,0.035,0.079,0.026,0.052,0.052,0.004,0.009,0.004,0,0.009,0,0,0.022,0.002,0.053,0.011,0.012,0.022,0.001
FCNSW_149_2020-02-04_T7_P1,FCNSW_149,FC NSW 1071,4/2/20,7,1,144.239511,-35.678113,78.860001,2.7,1.18,n,0.02,0.126,0.012,0.039,0.013,0.08,0.006,0.204,0.051,0.1,0.029,0.063,0.063,0.001,0,0.001,0.008,0.005,0.001,0.006,0.031,0.003,0.082,0,0.027,0.028,0
FCNSW_150_2020-02-04_T7_P2,FCNSW_150,FC NSW 1072,4/2/20,7,2,144.238774,-35.677261,78.330002,2.17,0.650002,n,0.017,0.136,0.027,0.077,0.012,0.063,0.005,0.173,0.038,0.082,0.023,0.055,0.055,0.019,0.011,0,0.004,0.006,0.001,0.003,0.022,0.015,0.08,0.014,0.035,0.028,0.001
FCNSW_151_2020-02-04_T7_P3,FCNSW_151,FC NSW 1073,4/2/20,7,3,144.238588,-35.676544,78.209999,2.05,0.529999,n,0.017,0.139,0.005,0.017,0.012,0.066,0.052,0.178,0.04,0.077,0.025,0.058,0.058,0.02,0,0.02,0,0.007,0,0.004,0.022,0.003,0.09,0.019,0.037,0.033,0
FCNSW_152_2020-02-04_T7_P4,FCNSW_152,FC NSW 1074,4/2/20,7,4,144.237507,-35.675924,77.68,1.52,0,n,0.02,0.154,0.006,0.021,0.015,0.064,0.005,0.211,0.039,0.079,0.025,0.059,0.059,0.01,0,0,0,0.008,0,0.002,0.026,0.023,0.092,0.019,0.029,0.034,0
FCNSW_153_2020-02-03_T8_P1,FCNSW_153,FC NSW 1081,3/2/20,8,1,144.232062,-35.59318,77.18,1.02,1.019997,n,0.021,0.113,0.011,0.035,0.013,0.081,0.006,0.185,0.051,0.106,0.028,0.067,0.067,0.002,0,0.002,0.006,0.006,0.004,0.015,0.026,0.004,0.09,0,0.042,0.017,0.001
FCNSW_154_2020-02-03_T8_P2,FCNSW_154,FC NSW 1082,3/2/20,8,2,144.231292,-35.593209,76.559998,0.39999,0.399994,n,0.02,0.149,0.008,0.021,0.015,0.067,0.004,0.182,0.045,0.095,0.027,0.059,0.059,0.019,0.011,0.019,0.002,0.008,0.001,0.006,0.022,0.003,0.081,0.018,0.021,0.037,0
FCNSW_155_2020-02-03_T8_P3,FCNSW_155,FC NSW 1083,3/2/20,8,3,144.230001,-35.592745,76.260002,0.1,0.099998,n,0.018,0.138,0.028,0.079,0.013,0.064,0.005,0.165,0.038,0.083,0.022,0.051,0.051,0.018,0.012,0.018,0.002,0.007,0.001,0,0.024,0.003,0.094,0.013,0.027,0.026,0
FCNSW_156_2020-02-03_T8_P4,FCNSW_156,FC NSW 1084,3/2/20,8,4,144.229216,-35.592304,76.160004,0,0,n,0.021,0.145,0.034,0.096,0.014,0.061,0.004,0.176,0.035,0.079,0.024,0.06,0.059,0,0,0.011,0.004,0.007,0,0.001,0.023,0.003,0.077,0.017,0.018,0.031,0
FCNSW_157_2020-02-04_T9_P1,FCNSW_157,FC NSW 1091,4/2/20,9,1,144.423864,-35.825089,82.18,6.02,1.050003,n,0.011,0.135,0.025,0.07,0.01,0.059,0.047,0.141,0.042,0.082,0.025,0.056,0.055,0.02,0.012,0.02,0.005,0.005,0.001,0.004,0.02,0.004,0.08,0,0.036,0.034,0
FCNSW_158_2020-02-04_T9_P2,FCNSW_158,FC NSW 1092,4/2/20,9,2,144.422807,-35.825348,82.230003,6.07,1.100006,n,0.017,0.147,0.008,0.024,0.013,0.068,0.008,0.18,0.047,0.099,0.027,0.068,0.068,0.003,0.001,0.003,0.009,0.007,0.001,0,0.026,0.004,0.093,0,0.04,0.041,0.001
FCNSW_159_2020-02-04_T9_P3,FCNSW_159,FC NSW 1093,4/2/20,9,3,144.422034,-35.825474,81.919998,5.75999,0.790001,n,0.012,0.132,0.03,0.087,0.01,0.062,0.051,0.167,0.041,0.087,0.029,0.047,0.017,0.018,0.003,0.018,0.004,0.005,0,0.003,0.023,0.005,0.088,0,0.029,0.032,0
FCNSW_160_2020-02-04_T9_P4,FCNSW_160,FC NSW 1094,4/2/20,9,4,144.421747,-35.825765,81.129997,4.96999,0,y,0.014,0.126,0.033,0.092,0.014,0.053,0.043,0.172,0.04,0.087,0.024,0.048,0.048,0,0,0,0.003,0.007,0.001,0,0.021,0.012,0.076,0.014,0.041,0.03,0.001
FCNSW_161_2020-10-13_T0_P1,FCNSW_161,FC NSW 1001,13/10/20,0,1,144.425419,-35.73389,80.57,4.41,0.300003,n,0.039,0.138,0.012,0.036,0.019,0.103,0.009,0.204,0.039,0.073,0.033,0.049,0.037,0.01,0.012,0.01,0,0.01,0,0.004,0.028,0.003,0.077,0.015,0.02,0.021,0.001
FCNSW_162_2020-10-13_T0_P2,FCNSW_162,FC NSW 1002,13/10/20,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,n,0.024,0.131,0.014,0.042,0.015,0.087,0.004,0.187,0.043,0.087,0.033,0.054,0.02,0.026,0.017,0.026,0,0.006,0.001,0.005,0.026,0.003,0.092,0.008,0.024,0.019,0.004
FCNSW_163_2020-10-13_T0_P3,FCNSW_163,FC NSW 1003,13/10/20,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,n,0.03,0.144,0.011,0.033,0.015,0.08,0.008,0.187,0.05,0.103,0.031,0.052,0.021,0.022,0.013,0.022,0.004,0.008,0,0.005,0.027,0.004,0.076,0,0.019,0.035,0.001
FCNSW_164_2020-10-13_T0_P4,FCNSW_164,FC NSW 1004,13/10/20,0,4,144.425377,-35.735393,80.269997,4.10999,0,n,0.027,0.147,0.034,0.09,0.013,0.067,0.004,0.195,0.043,0.087,0.026,0.053,0.02,0.016,0,0.005,0,0.006,0,0.004,0.025,0.002,0.084,0.009,0.012,0.029,0
FCNSW_165_2020-10-13_T1_P1,FCNSW_165,FC NSW 1011,13/10/20,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,n,0.026,0.084,0.022,0.066,0.007,0.043,0.003,0.185,0.083,0.178,0.021,0.097,0.015,0,0,0,0.006,0.003,0.001,0.008,0.021,0.004,0.083,0,0.033,0.008,0.002
FCNSW_166_2020-10-13_T1_P2,FCNSW_166,FC NSW 1012,13/10/20,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,n,0.025,0.144,0.012,0.037,0.013,0.075,0.005,0.199,0.036,0.082,0.034,0.05,0.021,0.026,0.017,0.026,0.002,0.007,0.001,0.008,0.03,0.01,0.08,0.011,0.019,0.03,0
FCNSW_167_2020-10-13_T1_P3,FCNSW_167,FC NSW 1013,13/10/20,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,m,0.026,0.135,0.009,0.029,0.013,0.071,0.057,0.185,0.043,0.086,0.031,0.048,0.023,0.018,0.011,0.018,0,0.006,0,0.002,0.029,0.005,0.08,0.016,0.022,0.037,0
FCNSW_168_2020-10-13_T1_P4,FCNSW_168,FC NSW 1014,13/10/20,1,4,144.417776,-35.745531,79.559998,3.39999,0,y,0.019,0.137,0.01,0.034,0.012,0.063,0.003,0.19,0.039,0.074,0.032,0.06,0.023,0.016,0.008,0.016,0,0.006,0,0.002,0.023,0.091,0.079,0.012,0.024,0.024,0
FCNSW_169_2020-10-13_T2_P1,FCNSW_169,FC NSW 1021,13/10/20,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,n,0.02,0.113,0.006,0.021,0.011,0.096,0.009,0.173,0.05,0.102,0.044,0.04,0.019,0.036,0.024,0.036,0.019,0.006,0,0.005,0.025,0.013,0.076,0,0.024,0.029,0.003
FCNSW_170_2020-10-13_T2_P2,FCNSW_170,FC NSW 1022,13/10/20,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,n,0.015,0.127,0.023,0.068,0.009,0.075,0.063,0.163,0.046,0.082,0.036,0.048,0.018,0.028,0.017,0.028,0,0.004,0,0.001,0.023,0.001,0.079,0,0.021,0.024,0
FCNSW_171_2020-10-13_T2_P3,FCNSW_171,FC NSW 1023,13/10/20,2,3,144.384195,-35.780728,80.694283,4.53428,0.674286,m,0.021,0.143,0.006,0.021,0.012,0.074,0.061,0.169,0.05,0.103,0.032,0.053,0.019,0.026,0.014,0.024,0,0.006,0.001,0.006,0.023,0.006,0.079,0,0.021,0.03,0
FCNSW_172_2020-10-13_T2_P4,FCNSW_172,FC NSW 1024,13/10/20,2,4,144.384389,-35.780678,80.019997,3.85999,0,y,0.018,0.141,0.029,0.086,0.011,0.052,0.045,0.16,0.039,0.078,0.025,0.053,0.053,0.017,0.01,0.017,0,0.004,0,0.005,0.024,0.003,0.076,0.007,0.027,0.02,0
FCNSW_173_2020-10-13_T3_P1,FCNSW_173,FC NSW 1031,13/10/20,3,1,144.42359,-35.862426,82.900002,6.74,0,n,0.016,0.116,0.024,0.07,0.01,0.064,0.005,0.157,0.041,0.081,0.022,0.053,0.015,0.018,0.01,0.018,0,0.006,0.001,0.006,0.022,0.088,0.076,0.011,0.042,0.029,0
FCNSW_174_2020-10-13_T3_P2,FCNSW_174,FC NSW 1032,13/10/20,3,2,144.424764,-35.862395,82.980003,6.82,0.080002,n,0.018,0.12,0.026,0.076,0.011,0.064,0.005,0.156,0.041,0.081,0.021,0.052,0.012,0.02,0.011,0.02,0.003,0.005,0.001,0.006,0.02,0.081,0.07,0.012,0.038,0.028,0.001
FCNSW_175_2020-10-13_T3_P3,FCNSW_175,FC NSW 1033,13/10/20,3,3,144.42555,-35.86226,83.300003,7.14,0.400002,n,0.026,0.124,0.006,0.021,0.014,0.066,0.006,0.172,0.048,0.097,0.021,0.053,0.018,0.016,0.01,0.016,0.004,0.006,0,0.007,0.025,0.087,0.075,0.013,0.036,0.034,0
FCNSW_176_2020-10-13_T3_P4,FCNSW_176,FC NSW 1034,13/10/20,3,4,144.42597,-35.862151,83.5,7.34,0.599998,n,0.019,0.136,0.005,0.018,0.012,0.068,0.055,0.206,0.042,0.077,0.028,0.059,0.024,0.003,0.001,0.003,0,0.006,0,0.004,0.037,0.005,0.097,0,0.051,0.042,0.001
FCNSW_177_2020-10-14_T4_P1,FCNSW_177,FC NSW 1041,14/10/20,4,1,144.34441,-35.74825,80.510002,4.35,1.200005,n,0.029,0.117,0.009,0.033,0.013,0.095,0.006,0.206,0.038,0.073,0.039,0.047,0.023,0.031,0.02,0.031,0,0.006,0,0.007,0.033,0.006,0.079,0,0.031,0.027,0
FCNSW_178_2020-10-14_T4_P2,FCNSW_178,FC NSW 1042,14/10/20,4,2,144.34441,-35.74903,79.57,3.41,0.260002,n,0.022,0.133,0.027,0.077,0.015,0.075,0.006,0.173,0.05,0.11,0.03,0.039,0.015,0.028,0.017,0.028,0.001,0.008,0,0.001,0.025,0.004,0.059,0.007,0.014,0.039,0
FCNSW_179_2020-10-14_T4_P3,FCNSW_179,FC NSW 1043,14/10/20,4,3,144.34407,-35.74957,79.440002,3.28,0.130005,n,0.025,0.14,0.028,0.083,0.014,0.064,0.004,0.195,0.042,0.083,0.026,0.048,0.021,0.024,0.013,0.024,0.002,0.008,0,0.001,0.026,0.002,0.069,0.01,0.023,0.027,0
FCNSW_180_2020-10-14_T4_P4,FCNSW_180,FC NSW 1044,14/10/20,4,4,144.34419,-35.75001,79.309998,3.14999,0,n,0.015,0.118,0.02,0.061,0.012,0.064,0.053,0.19,0.045,0.09,0.026,0.044,0.044,0.026,0.016,0.026,0,0.007,0,0.001,0.025,0.002,0.065,0.003,0.016,0.028,0.002
FCNSW_181_2020-10-14_T5_P1,FCNSW_181,FC NSW 1051,14/10/20,5,1,144.29449,-35.72734,80.019997,3.85999,1.099998,n,0.011,0.104,0.011,0.039,0.008,0.068,0.002,0.205,0.035,0.067,0.038,0.058,0.064,0.004,0.017,0.004,0.004,0.003,0,0.003,0.033,0,0.088,0,0.092,0.014,0.028
FCNSW_182_2020-10-14_T5_P2,FCNSW_182,FC NSW 1052,14/10/20,5,2,144.29568,-35.72802,79.650002,3.49,0.730003,n,0.019,0.147,0.025,0.076,0.013,0.086,0.004,0.187,0.047,0.094,0.03,0.053,0.019,0.023,0.013,0.023,0,0.005,0,0.002,0.018,0,0.068,0.003,0.023,0.025,0
FCNSW_183_2020-10-14_T5_P3,FCNSW_183,FC NSW 1053,14/10/20,5,3,144.29662,-35.72855,79.43,3.27,0.510002,n,0.017,0.113,0.018,0.056,0.01,0.075,0.128,0.17,0.035,0.067,0.031,0.046,0.017,0.023,0.015,0.023,0,0.006,0,0.004,0.019,0.005,0.075,0.005,0.022,0.019,0
FCNSW_184_2020-10-14_T5_P4,FCNSW_184,FC NSW 1054,14/10/20,5,4,144.29732,-35.72876,78.919998,2.75999,0,n,0.013,0.128,0.002,0.015,0.01,0.074,0.134,0.178,0.038,0.004,0.028,0.05,0.019,0.022,0.012,0.022,0,0.004,0,0.001,0.017,0.099,0.084,0.002,0.02,0.02,0.004
FCNSW_185_2020-10-14_T6_P1,FCNSW_185,FC NSW 1061,14/10/20,6,1,144.274284,-35.696733,79.400002,3.24,1.459999,n,0.018,0.125,0.009,0.031,0.012,0.084,0.004,0.204,0.053,0.025,0.04,0.055,0.026,0.035,0.021,0.035,0.005,0.006,0,0.005,0.032,0.009,0.082,0,0.043,0.036,0.004
FCNSW_186_2020-10-14_T6_P2,FCNSW_186,FC NSW 1062,14/10/20,6,2,144.274252,-35.6966,78.470001,2.31,0.529999,m,0.023,0.16,0.006,0.022,0.015,0.085,0.006,0.198,0.056,0.021,0.039,0.057,0.022,0.033,0.019,0.033,0.002,0.007,0,0.003,0.031,0.002,0.086,0.008,0.028,0.043,0
FCNSW_187_2020-10-14_T6_P3,FCNSW_187,FC NSW 1063,14/10/20,6,3,144.274289,-35.696551,78.050003,1.89,0.110001,y,0.023,0.134,0.003,0.015,0.013,0.056,0.139,0.19,0.042,0.077,0.027,0.057,0.02,0.02,0.011,0.02,0,0.007,0,0.001,0.024,0,0.059,0.009,0.026,0.022,0.005
FCNSW_188_2020-10-14_T6_P4,FCNSW_188,FC NSW 1064,14/10/20,6,4,144.274307,-35.696518,77.940002,1.78,0,y,0.027,0.13,0.036,0.101,0.016,0.05,0.042,0.192,0.039,0.076,0.024,0.061,0.021,0.008,0,0.008,0.004,0.009,0.001,0.001,0.026,0.003,0.059,0.015,0.024,0.023,0.003
FCNSW_189_2020-10-15_T7_P1,FCNSW_189,FC NSW 1071,15/10/20,7,1,144.239511,-35.678113,78.860001,2.7,1.18,n,0.015,0.096,0.009,0.031,0.011,0.064,0.155,0.207,0.045,0.077,0.023,0.047,0.023,0,0,0,0.004,0.004,0,0.002,0.032,0.002,0.074,0.011,0.033,0.026,0.007
FCNSW_190_2020-10-15_T7_P2,FCNSW_190,FC NSW 1072,15/10/20,7,2,144.238774,-35.677261,78.330002,2.17,0.650002,n,0.012,0.123,0.022,0.065,0.011,0.064,0.133,0.177,0.038,0.018,0.025,0.05,0.017,0.022,0.012,0.022,0,0.006,0,0.002,0.027,0.003,0.083,0.008,0.025,0.033,0
FCNSW_191_2020-10-15_T7_P3,FCNSW_191,FC NSW 1073,15/10/20,7,3,144.238588,-35.676544,78.209999,2.05,0.529999,n,0.016,0.121,0.004,0.015,0.012,0.067,0.126,0.171,0.045,0.088,0.027,0.045,0.019,0.02,0.013,0.02,0.002,0.007,0,0,0.026,0.004,0.083,0.009,0.024,0.036,0
FCNSW_192_2020-10-15_T7_P4,FCNSW_192,FC NSW 1074,15/10/20,7,4,144.237507,-35.675924,77.68,1.52,0,n,0.018,0.151,0.003,0.017,0.014,0.075,0.003,0.238,0.05,0.09,0.026,0.059,0.023,0.013,0.011,0.013,0,0.009,0,0,0.034,0,0.085,0.007,0.013,0.048,0
FCNSW_193_2020-10-15_T8_P1,FCNSW_193,FC NSW 1081,15/10/20,8,1,144.232062,-35.59318,77.18,1.02,1.019997,n,0.02,0.103,0.01,0.037,0.01,0.091,0.007,0.18,0.046,0.094,0.031,0.044,0.026,0.022,0.012,0.022,0,0.003,0,0.003,0.019,0.089,0.081,0.004,0.028,0.017,0
FCNSW_194_2020-10-15_T8_P2,FCNSW_194,FC NSW 1082,15/10/20,8,2,144.231292,-35.593209,76.559998,0.39999,0.399994,n,0.016,0.158,0.005,0.023,0.015,0.1,0.003,0.22,0.048,0.006,0.037,0.063,0.024,0.027,0.014,0.027,0,0.007,0,0.001,0.02,0.002,0.11,0.008,0.036,0.029,0
FCNSW_195_2020-10-15_T8_P3,FCNSW_195,FC NSW 1083,15/10/20,8,3,144.230001,-35.592745,76.260002,0.1,0.099998,n,0.023,0.137,0.022,0.067,0.014,0.082,0.002,0.176,0.041,0.08,0.025,0.047,0.017,0.02,0.01,0.02,0,0.005,0,0.006,0.018,0.081,0.068,0.001,0.02,0.019,0
FCNSW_196_2020-10-15_T8_P4,FCNSW_196,FC NSW 1084,15/10/20,8,4,144.229216,-35.592304,76.160004,0,0,n,0.018,0.126,0.026,0.08,0.012,0.068,0.116,0.155,0.033,0.065,0.023,0.042,0.015,0.016,0.007,0.016,0,0.004,0,0.001,0.014,0.07,0.058,0,0.015,0.018,0
FCNSW_197_2020-10-13_T9_P1,FCNSW_197,FC NSW 1091,13/10/20,9,1,144.423864,-35.825089,82.18,6.02,1.050003,n,0.016,0.161,0.03,0.089,0.012,0.086,0.003,0.18,0.046,0.013,0.035,0.059,0.017,0.026,0.015,0.026,0,0.004,0,0.004,0.02,0.006,0.094,0.007,0.027,0.027,0
FCNSW_198_2020-10-13_T9_P2,FCNSW_198,FC NSW 1092,13/10/20,9,2,144.422807,-35.825348,82.230003,6.07,1.100006,n,0.017,0.144,0.032,0.094,0.012,0.085,0.002,0.19,0.049,0.011,0.033,0.064,0.017,0.024,0.001,0.024,0,0.004,0,0.007,0.021,0.004,0.091,0.008,0.039,0.027,0.001
FCNSW_199_2020-10-13_T9_P3,FCNSW_199,FC NSW 1093,13/10/20,9,3,144.422034,-35.825474,81.919998,5.75999,0.790001,n,0.016,0.15,0.033,0.096,0.013,0.093,0.003,0.185,0.053,0.005,0.034,0.06,0.021,0.01,0.014,0.01,0.002,0.004,0,0.003,0.02,0.002,0.105,0.008,0.032,0.027,0
