CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,Inun,C14_0,iC15_0,aC15_0,C14_1,C15_0,iC16_0,C15_1,C16_0,C16_1w11t,C16_1w7t,aC17_0,C16_1,C16_1w9c,C18isomer1,C18isomer2,C18isomer3,C18isomer4,C17_0,me10C16_0,C17_1,C18_0,C18_1n9t,C18_1n9c,C19isomer3,C18_2n6c,me10C18_0,C18_3n3
FCNSW_074_2019-07-31_T8_P2,FCNSW_074,FC NSW 1082,31/7/19,8,2,144.231292,-35.593209,76.559998,0.39999,0.399994,n,0.023,0.149,0.009,0.027,0.016,0.074,0.005,0.188,0.041,0.093,0.029,0.048,0.049,0.019,0.012,0.019,0.003,0.009,0.003,0.011,0.026,0.003,0.073,0.016,0.02,0.034,0
FCNSW_075_2019-07-31_T8_P3,FCNSW_075,FC NSW 1083,31/7/19,8,3,144.230001,-35.592745,76.260002,0.1,0.099998,n,0.025,0.142,0.03,0.087,0.014,0.059,0.043,0.19,0.032,0.074,0.022,0.051,0.051,0.009,0.007,0.009,0,0.005,0,0.004,0.022,0,0.066,0.009,0.028,0.022,0
FCNSW_076_2019-07-31_T8_P4,FCNSW_076,FC NSW 1084,31/7/19,8,4,144.229216,-35.592304,76.160004,0,0,n,0.022,0.153,0.035,0.094,0.016,0.069,0.003,0.168,0.036,0.085,0.025,0.046,0.046,0.015,0.008,0.015,0.001,0.007,0,0.005,0.021,0.001,0.059,0.012,0.022,0.026,0.007
FCNSW_077_2019-07-31_T9_P1,FCNSW_077,FC NSW 1091,31/7/19,9,1,144.423864,-35.825089,82.18,6.02,1.050003,n,0.017,0.125,0.026,0.074,0.012,0.057,0.042,0.167,0.029,0.068,0.024,0.057,0.057,0.019,0.011,0.019,0.003,0.005,0,0.002,0.023,0.002,0.067,0.016,0.055,0.023,0.002
FCNSW_078_2019-07-31_T9_P2,FCNSW_078,FC NSW 1092,31/7/19,9,2,144.422807,-35.825348,82.230003,6.07,1.100006,n,0.018,0.146,0.007,0.022,0.013,0.066,0.006,0.169,0.043,0.099,0.025,0.06,0.059,0.02,0.013,0.02,0.005,0.007,0,0.001,0.025,0.019,0.08,0.016,0.029,0.034,0
FCNSW_079_2019-07-31_T9_P3,FCNSW_079,FC NSW 1093,31/7/19,9,3,144.422034,-35.825474,81.919998,5.75999,0.790001,n,0.019,0.135,0.029,0.085,0.012,0.062,0.045,0.167,0.035,0.082,0.024,0.05,0.05,0.012,0.009,0.012,0,0.005,0,0.003,0.021,0.002,0.075,0.013,0.025,0.027,0.001
FCNSW_080_2019-07-31_T9_P4,FCNSW_080,FC NSW 1094,31/7/19,9,4,144.421747,-35.825765,81.129997,4.96999,0,y,0.015,0.134,0.03,0.087,0.012,0.05,0.037,0.172,0.039,0.09,0.021,0.047,0.047,0.011,0.006,0.011,0.001,0.005,0,0.005,0.019,0.013,0.071,0.011,0.039,0.024,0.001
FCNSW_081_2019-11-06_T0_P1,FCNSW_081,FC NSW 1001,6/11/19,0,1,144.425419,-35.73389,80.57,4.41,0.300003,n,0.025,0.146,0.016,0.045,0.016,0.086,0.009,0.189,0.044,0.1,0.03,0.052,0.024,0.017,0.014,0.02,0.003,0.008,0,0,0.027,0.002,0.069,0.01,0.016,0.031,0
FCNSW_082_2019-11-06_T0_P2,FCNSW_082,FC NSW 1002,6/11/19,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,n,0.023,0.141,0.008,0.027,0.014,0.079,0.005,0.206,0.037,0.088,0.03,0.063,0.018,0.022,0.013,0.022,0.003,0.008,0,0,0.026,0.015,0.09,0.015,0.021,0.026,0.001
FCNSW_083_2019-11-06_T0_P3,FCNSW_083,FC NSW 1003,6/11/19,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,n,0.025,0.143,0.012,0.039,0.016,0.08,0.005,0.203,0.044,0.097,0.03,0.056,0.021,0.02,0.012,0.02,0.005,0.008,0.003,0.001,0.027,0.003,0.074,0,0.024,0.031,0
FCNSW_084_2019-11-06_T0_P4,FCNSW_084,FC NSW 1004,6/11/19,0,4,144.425377,-35.735393,80.269997,4.10999,0,n,0.021,0.132,0.005,0.094,0.014,0.06,0.044,0.184,0.038,0.088,0.023,0.05,0.016,0.013,0.009,0.01,0.003,0.007,0.003,0.001,0.025,0.02,0.077,0.012,0.019,0.032,0
FCNSW_085_2019-11-06_T1_P1,FCNSW_085,FC NSW 1011,6/11/19,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,n,0.012,0.061,0.001,0.007,0.005,0.03,0.104,0.152,0.06,0.132,0.015,0.074,0.011,0.001,0,0.001,0.005,0.002,0,0.003,0.024,0.127,0.109,0,0.056,0.004,0.002
FCNSW_086_2019-11-06_T1_P2,FCNSW_086,FC NSW 1012,6/11/19,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,n,0.015,0.128,0.009,0.029,0.011,0.067,0.005,0.179,0.035,0.075,0.029,0.054,0.018,0.023,0.014,0.023,0.003,0.007,0.001,0.007,0.025,0.092,0.079,0.017,0.025,0.027,0.001
FCNSW_087_2019-11-06_T1_P3,FCNSW_087,FC NSW 1013,6/11/19,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,m,0.015,0.129,0.035,0.098,0.01,0.063,0.117,0.169,0.036,0.013,0.026,0.05,0.019,0.013,0.01,0.013,0.003,0.006,0.001,0.008,0.022,0.003,0.075,0.018,0.014,0.034,0
FCNSW_088_2019-11-06_T1_P4,FCNSW_088,FC NSW 1014,6/11/19,1,4,144.417776,-35.745531,79.559998,3.39999,0,y,0.017,0.098,0.008,0.028,0.012,0.055,0.149,0.194,0.034,0.068,0.027,0.03,0.016,0.008,0.007,0.008,0,0.007,0,0,0.023,0.085,0.071,0.001,0.031,0.022,0.002
FCNSW_089_2019-11-05_T2_P1,FCNSW_089,FC NSW 1021,5/11/19,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,n,0.016,0.127,0.007,0.026,0.011,0.102,0.007,0.22,0.049,0.022,0.042,0.049,0.02,0.035,0.023,0.035,0.001,0.006,0,0,0.029,0.003,0.089,0,0.048,0.033,0.003
