CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,DistLowP,Height,RHeight,RTHeight,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotC,TotOC,TotN,d13C,d15N,MTotC,MTotOC,MTotIC,MTotN,POC,HOC,ROC,DOC,DTN,FumDOC,FumDTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b
FCNSW_117_2019-11-05_T9_P1,FCNSW_117,FC NSW 1091,2019-11-05,9,1,144.423864,-35.825089,,82.180000,6.020000,1.050003,n,0,30,"River red gum 50% coverage, thick litter, Juncus",2829,2950,1.154,0.154,24,39,37,26,39,35,Silty clay loam,6.07,4.77,0.0763,11.0,8.783,790,584,122,234,41300,0,13,930,0,0,48,13,26000,6710,2860,460,0,193,20,211,16,117,0,0,49,n,0.023,1.023,,13.49,1.4,-28.44,4.3,,,,,,,,142.67,11.13,265.59,26.33,0.407,1.073,2.355,16.59,7.896,0.1072,0.0008,33.255,68.0166
FCNSW_118_2019-11-05_T9_P2,FCNSW_118,FC NSW 1092,2019-11-05,9,2,144.422807,-35.825348,,82.230003,6.070000,1.100006,n,0,30,"River red gum, 60% litter coverage, sparse Juncus",2829,3180,1.164,0.164,28,41,31,33,36,32,Silty clay loam,6.5,5.21,0.0811,13.0,11.418,1018,622,126,240,40100,0,12,1120,0,0,47,12,24600,7130,2880,425,0,192,18,193,15,118,0,0,46,n,0.023,1.023,,13.84,1.35,-27.19,3.76,,,,,,,,143.6,11.95,291.15,35.93,0.157,0.967,2.378,25.59,10.142,0.1553,0.001,31.857,69.4726
FCNSW_119_2019-11-05_T9_P3,FCNSW_119,FC NSW 1093,2019-11-05,9,3,144.422034,-35.825474,,81.919998,5.759990,0.790001,n,0,30,"River red gum, 30% juncus, 100% litter cover",2829,3180,1.349,0.349,36,35,29,39,32,29,Silty clay loam,6.25,4.84,0.0599,12.0,10.994,664,689,170,212,40600,0,12,797,0,15,48,13,31100,6640,2810,1190,0,248,20,259,17,142,0,0,48,n,0.025,1.025,,8.04,0.4,-20.55,-5.67,,,,,,,,93.51,10.6,242.95,31.25,1.156,1.255,2.193,17.66,5.369,0.1329,0.0009,32.741,68.6362
FCNSW_120_2019-11-05_T9_P4,FCNSW_120,FC NSW 1094,2019-11-05,9,4,144.421747,-35.825765,,81.129997,4.969990,0.000000,y,0,30,"Juvenile river red gum, 20% juncus, 100% leaf litter",2829,3530,1.266,0.266,69,19,13,70,20,11,Loam,6.75,5.25,0.0388,6.2,9.527,346,313,112,92,16400,0,0,434,0,0,22,0,11800,3000,1170,263,0,126,0,138,0,74,0,0,20,n,0.009,1.009,,7.47,0.6,-26.81,2.99,,,,,,,,79.1,18.99,159.96,25.41,0.482,3.101,1.664,9.88,4.873,0.1334,0.001,30.808,70.2952
FCNSW_121_2020-02-05_T0_P1,FCNSW_121,FC NSW 1001,2020-02-05,0,1,144.425419,-35.733890,,80.570000,4.410000,0.300003,n,0,30,"Few mature RRG, many samplings, some copiced; distrurbed area; 95% litter cover, grey vertosol",2829,3830,1.114,0.114,17,25,58,31,28,42,Clay,6.26,5.26,0.1818,27.0,13.494,2420,1554,430,492,43400,0,10,2130,0,21,44,21,37500,4920,4120,773,0,577,27,196,21,121,0,0,59,n,0.027,1.027,,27.18,1.56,-26.63,3.4,,,,,,,,172.15,39.6,347.88,44.97,18.124,10.771,1.809,29.45,5.635,0.1338,0.001,30.052,71.0198
FCNSW_122_2020-02-05_T0_P2,FCNSW_122,FC NSW 1002,2020-02-05,0,2,144.425642,-35.734851,,80.779999,4.620000,0.510002,n,0,30,"Sparse mature and juvenile RRG, coverage 10%; disturbed area; 50% litter cover",2829,3700,1.096,0.096,35,26,39,43,29,28,Silty clay loam,6.01,4.81,0.0941,17.0,17.757,1236,846,222,290,30400,0,0,1220,0,13,37,17,28700,4050,2660,795,0,262,20,289,18,132,0,0,51,n,0.02,1.02,,14.88,1.44,-31.64,4.69,,,,,,,,101.9,37.58,263.06,41.23,17.057,11.848,1.605,14.64,4.777,0.1381,0.0009,28.64,72.069
FCNSW_123_2020-02-05_T0_P3,FCNSW_123,FC NSW 1003,2020-02-05,0,3,144.425268,-35.735180,,80.739998,4.579990,0.470001,n,0,30,"Mature RRG, some juveniles, juncus, 90% litter",2829,3340,1.098,0.098,25,31,43,36,35,29,Silty clay,6.04,4.82,0.113,20.0,14.778,1430,952,264,378,34300,0,0,1580,0,21,39,20,34500,4870,3340,1420,0,352,24,295,19,121,0,0,56,n,0.021,1.021,,15.79,1.41,-31.32,3.91,,,,,,,,109.31,24.81,255.8,32.54,11.106,6.107,1.406,24.07,3.684,0.1679,0.001,28.357,72.8684
FCNSW_124_2020-02-05_T0_P4,FCNSW_124,FC NSW 1004,2020-02-05,0,4,144.425377,-35.735393,,80.269997,4.109990,0.000000,n,0,30,"Young RRG ~5m height, 5% juncus, 10% canopy, 90% litter",2829,3240,1.055,0.055,63,21,16,63,24,14,Loam,5.6,4.56,0.0624,9.0,15.54,736,409,114,164,14300,0,0,700,0,0,20,0,12400,2360,1390,180,0,105,0,188,10,124,0,0,27,n,0.011,1.011,,16.42,0.93,-25.49,2.3,,,,,,,,64.87,19.28,237.07,23.66,8.442,4.867,1.094,19.6,4.415,0.1251,0.0009,28.269,72.2963
FCNSW_125_2020-02-05_T1_P1,FCNSW_125,FC NSW 1011,2020-02-05,1,1,144.417459,-35.745008,,81.370003,5.210000,1.810005,n,0,30,"Mature grey box, 30% canopy; 5% bluebush; 2% moss; 60% litter",2829,3560,1.085,0.085,58,24,18,54,26,20,Loam,8.66,7.77,0.229,19.0,45.845,2118,832,177,558,29000,0,18,14500,0,11,30,24,24700,6600,5860,1440,0,327,25,1030,13,171,0,0,68,y,0.02,1.02,,13.65,1.16,-24.77,4.23,,,,,,,,148.27,28.16,282.78,34.37,15.556,1.235,0.86,27.37,3.516,0.1154,0.0014,23.493,76.3744
FCNSW_126_2020-02-05_T1_P2,FCNSW_126,FC NSW 1012,2020-02-05,1,2,144.417561,-35.745289,,80.519997,4.359990,0.959999,n,0,30,"Mature RRG, 10% cover; 1% small saplings; 75% litter cover",2829,3790,1.109,0.109,29,22,49,36,29,35,Clay,5.86,4.81,0.125,23.0,10.111,1730,1373,346,514,37900,0,0,1590,0,20,41,20,32500,4940,3580,1180,0,416,26,219,22,121,0,0,59,n,0.025,1.025,,20.4,1.15,-26.7,3.29,,,,,,,,98.91,28.31,297.04,34.16,16.486,5.171,1.183,14.03,3.625,0.1295,0.0009,28.641,72.1454
