CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,DistLowP,Height,RHeight,RTHeight,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotC,TotOC,TotN,d13C,d15N,MTotC,MTotOC,MTotIC,MTotN,POC,HOC,ROC,DOC,DTN,FumDOC,FumDTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b
FCNSW_137_2020-02-04_T4_P1,FCNSW_137,FC NSW 1041,2020-02-04,4,1,144.344410,-35.748250,,80.510002,4.350000,1.200005,n,0,30,"Mature RRG + saplings, Juncus, litter 75%",2829,3480,1.135,0.135,21,33,46,31,28,41,Silty clay,5.54,4.68,0.175,22.0,12.163,1608,1233,308,370,44600,0,0,1660,0,22,50,21,42400,4460,3010,1420,0,473,27,391,22,146,0,0,58,n,0.029,1.029,,15.95,1.56,-23.67,4.97,,,,,,,,143.18,26.95,237.65,31.51,7.286,10.354,1.572,25.36,5.215,0.1226,0.001,31.021,70.1862
FCNSW_138_2020-02-04_T4_P2,FCNSW_138,FC NSW 1042,2020-02-04,4,2,144.344410,-35.749030,,79.570000,3.410000,0.260002,n,0,30,"Mix mature and juv RRG 30%, 1% juncus, pig disturbance",2829,3430,1.147,0.147,23,25,52,34,30,36,Clay,5.28,4.42,0.0891,21.0,15.29,1466,970,178,318,28100,0,0,1480,0,0,38,15,20800,2930,2110,539,0,156,16,280,19,251,0,0,50,n,0.025,1.025,,21.39,1.48,-24.82,3.01,,,,,,,,81.26,20.64,165.38,26.14,11.798,2.632,1.063,16.31,4.421,0.1241,0.0009,31.813,69.5069
FCNSW_139_2020-02-04_T4_P3,FCNSW_139,FC NSW 1043,2020-02-04,4,3,144.344070,-35.749570,,79.440002,3.280000,0.130005,n,0,30,"Mature RRG, pig disturbance, litter 80%",2829,3310,1.125,0.125,26,27,47,38,29,33,Silty clay,5.36,4.52,0.097,17.0,24.002,1294,797,140,258,27200,0,0,1260,0,0,36,13,17900,2960,1850,339,0,139,14,227,17,135,0,0,45,n,0.022,1.022,,16.68,1.2,-27.31,1.67,,,,,,,,63.78,26.79,150.81,34.19,16.526,5.911,1.178,17.57,4.688,0.1493,0.001,30.417,70.7359
FCNSW_140_2020-02-04_T4_P4,FCNSW_140,FC NSW 1044,2020-02-04,4,4,144.344190,-35.750010,,79.309998,3.149990,0.000000,n,0,30,"60% mature RRG, disturbance by pigs, 40% litter",2829,3810,1.113,0.113,21,31,49,31,32,37,Silty clay,5.28,4.31,0.0711,17.0,24.716,1256,750,132,268,27300,0,0,1150,0,0,38,14,18000,3140,1850,380,0,137,16,240,18,134,0,0,46,n,0.021,1.021,,10.01,1.25,-17.12,3.37,,,,,,,,40.52,18,123.46,22.49,9.491,3.712,0.859,14.64,3.054,0.1389,0.0009,30.83,70.5076
FCNSW_141_2020-02-04_T5_P1,FCNSW_141,FC NSW 1051,2020-02-04,5,1,144.294490,-35.727340,,80.019997,3.859990,1.099998,n,0,30,"RRG 20%, litter 50%",2829,4290,1.088,0.088,31,47,22,38,41,21,Silty loam,6.11,4.95,0.0871,7.0,6.58,664,567,176,128,15900,0,0,766,0,0,25,0,18500,2400,1600,605,0,182,12,188,12,43,0,0,31,n,0.016,1.016,,8.16,0.86,-22.22,4.06,,,,,,,,81.59,10.06,157.77,17.15,3.541,1.701,0.775,8.54,3.72,0.1579,0.0011,29.49,71.4972
FCNSW_142_2020-02-04_T5_P2,FCNSW_142,FC NSW 1052,2020-02-04,5,2,144.295680,-35.728020,,79.650002,3.490000,0.730003,n,0,30,"Juv RRG, coppiced, 25%; Themeda; woody debris 10%; juncus 1%; litter 70%",2829,2970,1.094,0.094,18,50,33,27,41,32,Silty clay loam,5.33,4.25,0.085,17.0,15.767,1248,887,156,284,25400,0,0,1190,0,0,35,13,25600,3240,2060,367,0,152,16,242,15,134,0,0,43,n,0.026,1.026,,17.33,1.39,-24.31,1.83,,,,,,,,117.68,21.41,276.13,27.88,9.522,5.02,0.971,28.92,4.196,0.0937,0.0007,30.498,70.2246
FCNSW_143_2020-02-04_T5_P3,FCNSW_143,FC NSW 1053,2020-02-04,5,3,144.296620,-35.728550,,79.430000,3.270000,0.510002,n,0,30,Some large and some coppiced RRG 30%; shea-oak - type shrub; 5% juncus and themeda; litter 50%,2829,3140,1.082,0.082,17,51,32,25,42,34,Silty clay loam,5.28,4.08,0.0613,12.0,8.783,624,722,138,206,22000,0,0,649,0,12,33,11,20600,2720,1790,357,0,135,14,195,16,83,0,0,38,n,0.023,1.023,,14.8,1,-26.18,2.68,,,,,,,,102.86,17.97,199.07,21.67,9.234,3.329,0.747,15.75,2.938,0.0895,0.0006,32.883,68.2428
FCNSW_144_2020-02-04_T5_P4,FCNSW_144,FC NSW 1054,2020-02-04,5,4,144.297320,-35.728760,,78.919998,2.759990,0.000000,n,0,30,Mature RRG some juv 10%; Juncus 1%; litter 70%,2829,3140,1.113,0.113,23,44,33,29,39,31,Silty clay loam,5.65,4.52,0.0582,11.0,14.769,896,696,126,240,17000,0,0,917,0,0,29,12,14900,2340,1590,358,0,129,12,220,15,136,0,0,35,n,0.021,1.021,,18.84,1.17,-28.88,2.56,,,,,,,,79.85,13.84,212.86,20.95,6.757,2.925,0.846,13.78,4.31,0.1297,0.0009,30.159,70.9493
FCNSW_145_2020-02-03_T6_P1,FCNSW_145,FC NSW 1061,2020-02-03,6,1,144.274284,-35.696733,,79.400002,3.240000,1.459999,n,0,30,"Recently thinned RRG 10%, themeda 5%, chenopod 5%; juncus 2%; litter 80%",2829,3630,1.163,0.163,17,22,60,28,27,45,Clay,6,4.92,0.1074,29.0,8.758,2352,1739,452,488,42400,0,0,2090,0,18,49,22,43200,3140,2910,1130,0,533,28,291,22,145,0,0,53,n,0.032,1.032,,19.26,1.67,-18.96,4.22,,,,,,,,121.76,14.2,331.85,20.6,2.352,3.467,1.208,30.33,5.661,0.1525,0.001,29.881,71.4424
FCNSW_146_2020-02-03_T6_P2,FCNSW_146,FC NSW 1062,2020-02-03,6,2,144.274252,-35.696600,,78.470001,2.310000,0.529999,m,0,30,"RRG 15%; themeda 1%, thistle; litter 50%",2829,3470,1.156,0.156,25,25,50,31,31,38,Silty clay,5.62,4.57,0.0884,19.0,16.463,1578,1137,194,408,28700,0,0,1640,0,0,37,16,24200,2890,2170,424,0,228,17,275,19,129,0,0,47,n,0.027,1.027,,17.13,1.59,-19.97,2.91,,,,,,,,116.78,18.94,238.74,25.67,10.876,4.375,1.165,27.49,4.535,0.1197,0.0009,31.421,69.6456
FCNSW_147_2020-02-03_T6_P3,FCNSW_147,FC NSW 1063,2020-02-03,6,3,144.274289,-35.696551,,78.050003,1.890000,0.110001,y,0,30,"Disturbed by logging, RRG ~5m; litter 80%",2829,3820,1.154,0.154,28,25,47,34,28,38,Silty clay,5.94,4.82,0.0759,19.0,27.887,1634,978,184,324,22700,0,0,1500,0,0,31,15,16800,2500,1780,437,0,184,14,244,17,122,0,0,42,n,0.022,1.022,,15.37,1.27,-27.39,2.63,,,,,,,,55.07,12.19,200.92,19,8.22,1.068,0.855,16.77,3.628,0.1778,0.0009,31.098,70.2227
FCNSW_148_2020-02-03_T6_P4,FCNSW_148,FC NSW 1064,2020-02-03,6,4,144.274307,-35.696518,,77.940002,1.780000,0.000000,y,0,30,"Mature and juv RRG 15%; 70% litter, surface self-mulching",2829,3710,1.181,0.181,21,21,58,31,27,42,Clay,5.74,4.66,0.0825,19.0,55.358,2040,1159,190,468,29300,0,0,1740,0,0,38,18,21200,3260,2100,519,0,191,17,401,21,139,0,0,56,n,0.025,1.025,,11.67,1.39,-24.78,4.37,,,,,,,,60.73,17.74,176.04,26.14,15.475,1.261,0.587,17.56,3.25,0.1216,0.0007,30.292,70.6252
FCNSW_149_2020-02-04_T7_P1,FCNSW_149,FC NSW 1071,2020-02-04,7,1,144.239511,-35.678113,,78.860001,2.700000,1.180000,n,0,30,"Mature and Juv RRG, forbs, shrub 30%, juncus 1%, thatch of litter, 100%",2829,3440,1.101,0.101,26,50,25,36,43,21,Silty loam,6.24,5.17,0.1108,14.0,6.358,1370,714,184,270,15400,0,0,1660,0,0,26,11,25500,2480,1640,755,0,194,14,265,14,109,0,0,32,n,0.015,1.015,,20.9,1.09,-23.78,3.4,,,,,,,,72.13,11.09,171.63,19.18,3.195,1.825,0.712,20.8,3.325,0.1813,0.0011,27.924,72.6218
FCNSW_150_2020-02-04_T7_P2,FCNSW_150,FC NSW 1072,2020-02-04,7,2,144.238774,-35.677261,,78.330002,2.170000,0.650002,n,0,30,"Recently thinned RRG 15%, juncus 15%, harvest disturbance",2829,3100,1.091,0.091,27,39,35,33,34,32,Silty clay loam,5.62,4.47,0.0566,13.0,13.119,968,807,134,312,18900,0,0,882,0,0,28,11,19200,2360,1590,514,0,108,12,236,15,104,0,0,35,n,0.019,1.019,,14,1.29,-31.29,2.35,,,,,,,,143.51,18.33,266,24.58,5.275,6.841,1.36,18.48,4.878,0.1282,0.0009,29.723,70.9799
FCNSW_151_2020-02-04_T7_P3,FCNSW_151,FC NSW 1073,2020-02-04,7,3,144.238588,-35.676544,,78.209999,2.050000,0.529999,n,0,30,"Recently thinned RRG 20%, juncus 1%, themeda 3%, harvest disturbance; thatch of litter 100%",2829,3100,1.086,0.086,37,31,32,41,32,27,Silty clay loam,5.74,4.64,0.0525,15.0,8.246,1326,665,120,274,36500,0,12,1160,0,0,41,0,17300,5860,2110,386,0,163,14,221,13,148,0,0,37,n,0.017,1.017,,12.76,1.29,-30.13,3.17,,,,,,,,92.92,18.78,216.1,25.19,8.312,6.145,1.403,14.43,3.628,0.1324,0.001,28.224,72.4914
FCNSW_152_2020-02-04_T7_P4,FCNSW_152,FC NSW 1074,2020-02-04,7,4,144.237507,-35.675924,,77.680000,1.520000,0.000000,n,0,30,Recently thinned RRG 5% coverage from coppiced remaining stand; litter 80%,2829,3150,1.095,0.095,35,40,25,40,34,26,Silty loam,5.76,4.66,0.0696,21.0,16.481,1172,673,118,268,32700,0,0,1220,0,0,39,11,16400,4980,2020,395,0,168,14,209,14,154,0,0,36,n,0.016,1.016,,11.94,1.14,-22.54,2.77,,,,,,,,71.51,18.15,203.16,24.42,14.728,3.134,0.733,15.88,2.748,0.1245,0.0008,32.429,68.018
FCNSW_153_2020-02-03_T8_P1,FCNSW_153,FC NSW 1081,2020-02-03,8,1,144.232062,-35.593180,,77.180000,1.020000,1.019997,n,0,30,"Recently thinned RRG 15%, 95% litter, appears to be perched vertosol (black)",2829,3400,1.093,0.093,23,27,50,30,31,38,Silty clay,6.66,5.72,0.2845,21.0,22.12,2422,1446,526,538,62100,0,19,3030,0,16,56,22,37200,9590,4460,1210,0,864,28,371,16,164,0,0,62,n,0.027,1.027,,18.94,1.5,-28.25,4.01,,,,,,,,141.52,21.04,273.37,27.62,5.67,6.906,0.97,21.74,4.849,0.1701,0.001,28.567,72.1175
FCNSW_154_2020-02-03_T8_P2,FCNSW_154,FC NSW 1082,2020-02-03,8,2,144.231292,-35.593209,,76.559998,0.399990,0.399994,n,0,30,Old RRG with some coppiced 15%; Juncus 10%; litter 90%,2829,3230,1.096,0.096,28,33,39,32,34,34,Silty clay loam,6.03,4.97,0.0952,20.0,14.752,1522,976,214,402,45100,0,13,1290,0,0,45,14,24500,7570,2990,414,0,317,18,213,15,139,0,0,45,n,0.022,1.022,,23.63,1.85,-27.69,2,,,,,,,,203.4,28.93,375.95,35.38,11.089,10.315,2.122,27.17,5.603,0.1547,0.0011,28.801,71.9825
FCNSW_155_2020-02-03_T8_P3,FCNSW_155,FC NSW 1083,2020-02-03,8,3,144.230001,-35.592745,,76.260002,0.100000,0.099998,n,0,30,Mature RRG recently thinned; litter 100%,2829,3210,1.07,0.07,32,34,34,38,33,29,Silty clay loam,5.46,4.64,0.0723,15.0,16.083,1192,574,122,336,39200,0,12,1170,0,0,41,13,20300,6640,2470,426,0,200,16,268,14,137,0,0,42,n,0.016,1.016,,12.11,1.23,-28.84,2.83,,,,,,,,112.46,16.73,243.56,20.37,8.186,5.012,1.252,16.78,4.012,0.1201,0.0008,31.031,69.9536
FCNSW_156_2020-02-03_T8_P4,FCNSW_156,FC NSW 1084,2020-02-03,8,4,144.229216,-35.592304,,76.160004,0.000000,0.000000,n,0,30,"V large RRG stumps, mature and juv RRG 40%; litter 90%; self-mulching",2829,3250,1.079,0.079,33,35,32,44,32,25,Silty clay loam,5.91,4.5,0.0682,16.0,17.514,1302,673,134,304,37100,0,10,1230,0,0,39,13,18300,5990,2340,368,0,189,16,251,14,140,0,0,39,n,0.016,1.016,,16.26,1.58,-26.95,3.39,,,,,,,,107.25,15.32,246.89,20.12,6.549,3.983,1.107,19.14,4.019,0.1305,0.001,30.409,70.3885
FCNSW_157_2020-02-04_T9_P1,FCNSW_157,FC NSW 1091,2020-02-04,9,1,144.423864,-35.825089,,82.180000,6.020000,1.050003,n,0,30,"River red gum 50% coverage, thick litter, Juncus",2829,2950,1.122,0.122,24,39,37,26,39,35,Silty clay loam,5.48,4.29,0.0657,11.0,7.316,790,584,122,234,41300,0,13,930,0,0,48,13,26000,6710,2860,460,0,193,20,211,16,117,0,0,49,n,0.018,1.018,,13.82,1.4,-29.2,4.28,,,,,,,,145.09,13.14,299.94,22.74,1.086,3.691,2.196,16.59,4.299,0.1336,0.0009,28.886,71.9088
FCNSW_158_2020-02-04_T9_P2,FCNSW_158,FC NSW 1092,2020-02-04,9,2,144.422807,-35.825348,,82.230003,6.070000,1.100006,n,0,30,"River red gum, 60% litter coverage, sparse Juncus",2829,3180,1.121,0.121,28,41,31,33,36,32,Silty clay loam,6.07,4.88,0.0695,13.0,12.337,1018,622,126,240,40100,0,12,1120,0,0,47,12,24600,7130,2880,425,0,192,18,193,15,118,0,0,46,n,0.02,1.02,,20.89,1.78,-23.86,3.27,,,,,,,,123.32,13.24,310.43,24.26,1.677,3.29,1.8,25.59,4.328,0.1529,0.0011,27.675,72.89
FCNSW_159_2020-02-04_T9_P3,FCNSW_159,FC NSW 1093,2020-02-04,9,3,144.422034,-35.825474,,81.919998,5.759990,0.790001,n,0,30,"River red gum, 30% juncus, 100% litter cover",2829,3180,1.12,0.12,36,35,29,39,32,29,Silty clay loam,5.45,4.16,0.0486,12.0,5.99,664,689,170,212,40600,0,12,797,0,15,48,13,31100,6640,2810,1190,0,248,20,259,17,142,0,0,48,n,0.016,1.016,,17.17,0.95,-25.12,4.25,,,,,,,,99.32,11.23,207.04,17.9,1.871,1.513,2.118,17.66,3.169,0.1476,0.001,30.316,70.7959
FCNSW_160_2020-02-04_T9_P4,FCNSW_160,FC NSW 1094,2020-02-04,9,4,144.421747,-35.825765,,81.129997,4.969990,0.000000,y,0,30,"Juvenile river red gum, 20% juncus, 100% leaf litter",2829,3530,1.063,0.063,69,19,13,70,20,11,Loam,5.69,4.31,0.0363,6.2,10.072,346,313,112,92,16400,0,0,434,0,0,22,0,11800,3000,1170,263,0,126,0,138,0,74,0,0,20,n,0.008,1.008,,11.36,0.71,-27.49,4.23,,,,,,,,65.94,5.54,172.3,10.82,0.281,0.658,1.158,9.88,2.571,0.1712,0.001,27.739,73.1524
FCNSW_161_2020-10-13_T0_P1,FCNSW_161,FC NSW 1001,2020-10-13,0,1,144.425419,-35.733890,,80.570000,4.410000,0.300003,n,0,30,"Few mature RRG, many samplings, some copiced; distrurbed area; 95% litter cover, grey vertosol",2829,3830,1.134,0.134,17,25,58,31,28,42,Clay,6.24,5.45,0.179,27.0,12.429,2420,1554,430,492,43400,0,10,2130,0,21,44,21,37500,4920,4120,773,0,577,27,196,21,121,0,0,59,n,0.026,1.026,,12.83,1.15,-16.83,2.81,,,,,,,,111.49,50,268.32,62.74,19.71,5.53,0.81,29.45,5.291,0.1203,0.0009,28.594,72.0376
FCNSW_162_2020-10-13_T0_P2,FCNSW_162,FC NSW 1002,2020-10-13,0,2,144.425642,-35.734851,,80.779999,4.620000,0.510002,n,0,30,"Sparse mature and juvenile RRG, coverage 10%; disturbed area; 50% litter cover",2829,3700,1.102,0.102,35,26,39,43,29,28,Silty clay loam,6.05,4.88,0.067,17.0,15.48,1236,846,222,290,30400,0,0,1220,0,13,37,17,28700,4050,2660,795,0,262,20,289,18,132,0,0,51,n,0.02,1.02,,9.05,0.91,-24.05,4.08,,,,,,,,78.18,8.2,167.36,10.49,2.32,1.49,0.86,14.64,4.583,0.1277,0.0009,28.344,72.3992
FCNSW_163_2020-10-13_T0_P3,FCNSW_163,FC NSW 1003,2020-10-13,0,3,144.425268,-35.735180,,80.739998,4.579990,0.470001,n,0,30,"Mature RRG, some juveniles, juncus, 90% litter",2829,3340,1.122,0.122,25,31,43,36,35,29,Silty clay,6.08,4.89,0.107,20.0,16.327,1430,952,264,378,34300,0,0,1580,0,21,39,20,34500,4870,3340,1420,0,352,24,295,19,121,0,0,56,n,0.024,1.024,,15.96,1.38,-26.76,3.49,,,,,,,,97.05,11.26,244.74,19.75,7.85,2.85,1.02,24.07,6.423,0.1429,0.001,28.268,72.4195
FCNSW_164_2020-10-13_T0_P4,FCNSW_164,FC NSW 1004,2020-10-13,0,4,144.425377,-35.735393,,80.269997,4.109990,0.000000,n,0,30,"Young RRG ~5m height, 5% juncus, 10% canopy, 90% litter",2829,3240,1.063,0.063,63,21,16,63,24,14,Loam,5.55,4.49,0.062,9.0,14.933,736,409,114,164,14300,0,0,700,0,0,20,0,12400,2360,1390,180,0,105,0,188,10,124,0,0,27,n,0.01,1.01,,10.99,1.2,-21.77,4.43,,,,,,,,72.2,22.47,152.58,29.89,11.45,3.61,0.76,19.6,4.971,0.0908,0.0008,30.525,70.2276
FCNSW_165_2020-10-13_T1_P1,FCNSW_165,FC NSW 1011,2020-10-13,1,1,144.417459,-35.745008,,81.370003,5.210000,1.810005,n,0,30,"Mature grey box, 30% canopy; 5% bluebush; 2% moss; 60% litter",2829,3560,1.096,0.096,58,24,18,54,26,20,Loam,8.61,7.71,0.207,19.0,44.73,2118,832,177,558,29000,0,18,14500,0,11,30,24,24700,6600,5860,1440,0,327,25,1030,13,171,0,0,68,y,0.02,1.02,,13.08,1.08,-24.39,1.98,,,,,,,,117.41,13.59,299.75,25.19,2.87,0.42,0.58,27.37,6.719,0.1293,0.0014,23.415,76.0092
FCNSW_166_2020-10-13_T1_P2,FCNSW_166,FC NSW 1012,2020-10-13,1,2,144.417561,-35.745289,,80.519997,4.359990,0.959999,n,0,30,"Mature RRG, 10% cover; 1% small saplings; 75% litter cover",2829,3790,1.124,0.124,29,22,49,36,29,35,Clay,5.96,4.84,0.127,23.0,11.435,1730,1373,346,514,37900,0,0,1590,0,20,41,20,32500,4940,3580,1180,0,416,26,219,22,121,0,0,59,n,0.021,1.021,,18.07,1.86,-22.97,3.04,,,,,,,,88.39,25.49,208.97,33.02,15.09,3.82,0.84,14.03,4.401,0.1108,0.0008,29.355,71.4205
FCNSW_167_2020-10-13_T1_P3,FCNSW_167,FC NSW 1013,2020-10-13,1,3,144.417647,-35.745413,,80.190002,4.030000,0.630005,m,0,30,"Mature RRG, 10% cover; Juvenile RRG 1%; Juncus 1%; Chenopod 1%; Litter 60%",2829,3840,1.097,0.097,39,24,38,43,27,30,Clay loam,5.92,4.76,0.091,20.0,15.776,1458,968,220,338,27800,0,0,1810,0,12,33,16,25400,3770,2300,552,0,277,17,247,18,183,0,0,47,n,0.017,1.017,,14.23,1.4,-29,1.54,,,,,,,,78.89,19.1,205.33,27.82,9.95,2.34,0.88,23.05,3.986,0.1361,0.001,29.486,71.3651
FCNSW_168_2020-10-13_T1_P4,FCNSW_168,FC NSW 1014,2020-10-13,1,4,144.417776,-35.745531,,79.559998,3.399990,0.000000,y,0,30,"Mature RRG <10%; Juncus 5%, lots of dead wood; 50% litter",2829,3740,1.081,0.081,55,23,23,58,23,19,Loam,6.35,4.95,0.045,9.9,22.362,880,511,136,204,15900,0,0,846,0,0,22,0,12700,2550,1440,211,0,144,10,168,12,113,0,0,30,n,0.014,1.014,,12.84,1.32,-17.54,3.86,,,,,,,,49.32,3.26,130.04,7.65,1.06,0.35,0.42,13.98,3.233,0.1877,0.001,28.201,72.654
FCNSW_169_2020-10-13_T2_P1,FCNSW_169,FC NSW 1021,2020-10-13,2,1,144.382395,-35.780812,,81.239998,5.079990,1.220001,n,0,30,"Recently thinned RRG, some coppiced, some dead RRG ~20m, RRG cover ~15%; litter 40%",2829,3430,1.157,0.157,17,26,57,28,31,42,Silty clay,5.39,4.28,0.114,25.0,7.396,1478,1332,334,344,44400,0,0,1340,0,14,50,18,40500,3980,2970,607,0,416,25,219,20,177,0,0,55,n,0.027,1.027,,11.55,1.02,-27.33,2.99,,,,,,,,146.07,16.86,246.41,28.86,9,2.92,1.84,14.26,4.412,0.0842,0.0007,33.619,67.5098
FCNSW_170_2020-10-13_T2_P2,FCNSW_170,FC NSW 1022,2020-10-13,2,2,144.383235,-35.780596,,80.730003,4.570000,0.710007,n,0,30,"Very disturbed site, RRG 5% coppiced / thinned, few chenopods",2829,4030,1.15,0.15,16,40,44,25,35,41,Silty clay,5.19,3.94,0.058,20.0,11.163,800,866,184,232,26900,0,0,723,0,17,39,15,34300,2790,2000,1110,0,168,18,359,21,127,0,0,52,n,0.024,1.024,,14.12,1.13,-27.07,3.35,,,,,,,,102.93,13.15,179.25,15.09,6.8,2.27,1.28,19.7,3.934,0.086,0.0006,33.377,67.8279
FCNSW_171_2020-10-13_T2_P3,FCNSW_171,FC NSW 1023,2020-10-13,2,3,144.384195,-35.780728,,80.694283,4.534280,0.674286,m,0,30,Mainly young RRG 30%; many branches; sedges 5%; Themeda; Litter 90%,2829,3140,1.144,0.144,18,46,36,25,39,35,Silty clay loam,5.29,4.12,0.06,15.0,14.563,818,803,162,258,28900,0,0,810,0,17,41,13,33800,3600,2290,1250,0,162,19,386,17,135,0,0,50,n,0.023,1.023,,10.76,1.05,-27.53,3.12,,,,,,,,107.82,12.64,212.54,17.89,7.23,1.32,1.24,22.02,5.576,0.1066,0.0007,30.26,70.5081
FCNSW_172_2020-10-13_T2_P4,FCNSW_172,FC NSW 1024,2020-10-13,2,4,144.384389,-35.780678,,80.019997,3.859990,0.000000,y,0,30,Mature RRG + saplings 30%; Juncus 10%; Litter 70%,2829,3430,1.218,0.124,22,47,31,31,39,31,Silty clay loam,5.73,4.3,0.059,13.0,14.904,784,692,144,158,23400,0,0,758,0,0,36,12,26100,2780,1790,604,0,131,15,332,17,74,0,0,42,n,0.024,1.024,,12.9,1.24,-23.6,4.44,,,,,,,,79.5,8.77,148.88,16.43,0,0.52,0.86,13.71,3.514,0.1197,0.0007,31.195,69.7776
FCNSW_173_2020-10-13_T3_P1,FCNSW_173,FC NSW 1031,2020-10-13,3,1,144.423590,-35.862426,,82.900002,6.740000,0.000000,n,0,30,"Red gum, Black box, juncus",2829,3400,1.123,0.123,25,41,34,30,40,30,Silty clay loam,5.6,4.36,0.062,15.0,12.486,718,795,176,260,26700,0,0,776,0,20,39,15,32700,3640,2280,1360,0,200,21,283,16,100,0,0,50,n,0.019,1.019,,14.74,1.38,-25.84,3.06,,,,,,,,115.54,14.91,274.22,31.48,0.38,1.11,1.65,19.1,5.96,0.1091,0.0007,28.738,71.6703
FCNSW_174_2020-10-13_T3_P2,FCNSW_174,FC NSW 1032,2020-10-13,3,2,144.424764,-35.862395,,82.980003,6.820000,0.080002,n,0,30,"Red gum, grey box, juncus, ""cherry berry""",2829,3360,1.132,0.132,23,41,36,30,39,30,Silty clay loam,5.52,4.41,0.072,16.0,13.851,920,929,236,342,30000,0,0,878,0,15,40,15,30900,4130,2510,1060,0,289,20,241,17,108,0,0,52,n,0.02,1.02,,9.99,1.09,-29.21,3.28,,,,,,,,110.74,11.28,185.74,20.93,0,0.76,1.17,23.01,4.267,0.103,0.0009,28.944,71.495
FCNSW_175_2020-10-13_T3_P3,FCNSW_175,FC NSW 1033,2020-10-13,3,3,144.425550,-35.862260,,83.300003,7.140000,0.400002,n,0,30,"Grey box, sparse juncus, last logged >10 years ago",2829,3200,1.16,0.16,20,51,29,25,43,32,Silty clay loam,5.5,4.4,0.081,13.0,16.289,696,675,164,230,26200,0,0,715,0,18,40,13,31000,3830,2350,1160,0,195,19,290,16,119,0,0,51,n,0.02,1.02,,15.33,1.27,-24.51,3.58,,,,,,,,128.77,14.51,198.32,24.68,0.31,1.14,1.57,24.31,5.119,0.1026,0.001,27.842,72.6735
FCNSW_176_2020-10-13_T3_P4,FCNSW_176,FC NSW 1034,2020-10-13,3,4,144.425970,-35.862151,,83.500000,7.340000,0.599998,n,0,30,"Very mature red gum, cherry bush",2829,2840,1.186,0.186,15,59,26,25,45,30,Silty clay loam,5.81,4.73,0.063,14.0,19.648,1084,757,146,312,24500,0,0,1170,0,0,37,12,20800,3770,2500,471,0,158,18,266,16,126,0,0,47,n,0.018,1.018,,15.41,1.44,-25.35,3.51,,,,,,,,128.62,15.54,263.52,44.83,0.48,1.73,2.14,25.45,6.27,0.1625,0.001,28.427,72.1916
FCNSW_177_2020-10-14_T4_P1,FCNSW_177,FC NSW 1041,2020-10-14,4,1,144.344410,-35.748250,,80.510002,4.350000,1.200005,n,0,30,"Mature RRG + saplings, Juncus, litter 75%",2829,3480,1.15,0.15,21,33,46,31,28,41,Silty clay,5.44,4.66,0.294,22.0,8.879,1608,1233,308,370,44600,0,0,1660,0,22,50,21,42400,4460,3010,1420,0,473,27,391,22,146,0,0,58,n,0.031,1.031,,8.45,0.87,-21.34,3.98,,,,,,,,131.33,22.88,184.15,27.38,6.99,5.07,0.68,25.36,4.994,0.0614,0.0007,33.678,67.2124
FCNSW_178_2020-10-14_T4_P2,FCNSW_178,FC NSW 1042,2020-10-14,4,2,144.344410,-35.749030,,79.570000,3.410000,0.260002,n,0,30,"Mix mature and juv RRG 30%, 1% juncus, pig disturbance",2829,3430,1.174,0.174,23,25,52,34,30,36,Clay,5.48,4.48,0.08,21.0,21.742,1466,970,178,318,28100,0,0,1480,0,0,38,15,20800,2930,2110,539,0,156,16,280,19,251,0,0,50,n,0.026,1.026,,12.92,1.13,-28.53,3.67,,,,,,,,106.64,27.66,238.92,48.2,18.47,1.7,1.62,16.31,7.011,0.1076,0.0007,31.347,69.6126
FCNSW_179_2020-10-14_T4_P3,FCNSW_179,FC NSW 1043,2020-10-14,4,3,144.344070,-35.749570,,79.440002,3.280000,0.130005,n,0,30,"Mature RRG, pig disturbance, litter 80%",2829,3310,1.155,0.155,26,27,47,38,29,33,Silty clay,5.62,4.46,0.062,17.0,24.094,1294,797,140,258,27200,0,0,1260,0,0,36,13,17900,2960,1850,339,0,139,14,227,17,135,0,0,45,n,0.023,1.023,,15.11,1.25,-27.42,3.34,,,,,,,,65.92,11.69,128.83,18.62,7.3,1.21,0.57,17.57,4.734,0.1252,0.0009,29.206,71.6776
FCNSW_180_2020-10-14_T4_P4,FCNSW_180,FC NSW 1044,2020-10-14,4,4,144.344190,-35.750010,,79.309998,3.149990,0.000000,n,0,30,"60% mature RRG, disturbance by pigs, 40% litter",2829,3810,1.154,0.154,21,31,49,31,32,37,Silty clay,5.38,4.39,0.084,17.0,24.925,1256,750,132,268,27300,0,0,1150,0,0,38,14,18000,3140,1850,380,0,137,16,240,18,134,0,0,46,n,0.022,1.022,,10.33,1.19,-26.44,2.94,,,,,,,,75.75,17.09,157.3,24.68,13.92,1.01,0.64,14.64,4.73,0.1126,0.0009,28.772,71.9709
