CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,TWI,TPI,Slope,planCurv,proCurv,NDVI,VH,VV,Wet,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotOC,TotN,d13C,d15N,MTOC,POC,HOC,ROC,DOC,DTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b,DON,MBC,MBN,MicY,CN,MicCN,Vuln,BD0_30,bdm,TotalPLFA,Bac,Fun,Gpos,Gneg,Act,F_B,Gp_Gn,Act_Gp
FCNSW_172_2020-10-13_T2_P4,FCNSW_172,FC NSW 1024,13/10/20,2,4,144.384389,-35.780678,80.019997,3.85999,0,5.48051739,-0.021560669,4.549061775,-0.257610708,-0.013795063,0.219047621,-18.01197815,-11.70763111,0.411073744,y,0,30,Mature RRG + saplings 30%; Juncus 10%; Litter 70%,2829,3430,1.218,0.124,22,47,31,31,39,31,Silty clay loam,5.73,4.3,0.059,13.312,15.261696,802.816,708.608,147.456,161.792,23961.6,0,0,776.192,0,0,36.864,12.288,26726.4,2846.72,1832.96,618.496,0,134.144,15.36,339.968,17.408,75.776,0,0,43.008,n,0.024,1.024,13.2096,1.26976,-23.6,4.44,12.86260181,1.921573566,6.685803473,2.962004139,79.5,8.77,0,0.52,0.86,14.03904,3.598336,0.1197,7.00E-04,31.195,69.7776,8.25,154.1777778,15.32,0.691054801,10.40322581,10.06382361,0.199172044,1.120296925,0.076,574.9957016,323.5016408,60.63891534,144.8333955,55.39521889,12.00702505,0.187445465,145.0501475,0.082902324
FCNSW_173_2020-10-13_T3_P1,FCNSW_173,FC NSW 1031,13/10/20,3,1,144.42359,-35.862426,82.900002,6.74,0,8.41408253,-0.022506714,0.333277375,-2.000254393,-8.48E-07,0.267751485,-17.28953552,-11.46879101,0.437298596,n,0,30,"Red gum, Black box, juncus",2829,3400,1.123,0.123,25,41,34,30,40,30,Silty clay loam,5.6,4.36,0.062,15.285,12.723234,731.642,810.105,179.344,264.94,27207.3,0,0,790.744,0,20.38,39.741,15.285,33321.3,3709.16,2323.32,1385.84,0,203.8,21.399,288.377,16.304,101.9,0,0,50.95,n,0.019,1.019,15.02006,1.40622,-25.84,3.06,20.97561726,4.321540286,9.733846329,4.539042191,115.54,14.91,0.38,1.11,1.65,19.4629,6.07324,0.1091,7.00E-04,28.738,71.6703,13.42,352.6222222,33.14,0.713788601,10.68115942,10.64038088,0.302779657,1.093672676,0.09,1016.2327,556.3117608,209.5813864,235.1629134,99.2903666,29.1507345,0.376733697,235.4565042,0.123959744
FCNSW_174_2020-10-13_T3_P2,FCNSW_174,FC NSW 1032,13/10/20,3,2,144.424764,-35.862395,82.980003,6.82,0.080002,6.81765938,-0.068756104,1.581074476,-0.091420814,-0.007442566,0.230878189,-16.84009743,-10.87718773,0.453613311,n,0,30,"Red gum, grey box, juncus, ""cherry berry""",2829,3360,1.132,0.132,23,41,36,30,39,30,Silty clay loam,5.52,4.41,0.072,16.32,14.12802,938.4,947.58,240.72,348.84,30600,0,0,895.56,0,15.3,40.8,15.3,31518,4212.6,2560.2,1081.2,0,294.78,20.4,245.82,17.34,110.16,0,0,53.04,n,0.02,1.02,10.1898,1.1118,-29.21,3.28,20.60323687,3.253050761,10.06018816,4.779241925,110.74,11.28,0,0.76,1.17,23.4702,4.35234,0.103,9.00E-04,28.944,71.495,10.52,166.6666667,19.3,0.711825088,9.165137615,8.635578584,0.219216691,1.072492047,0.097,950.8573661,525.0386157,180.5335138,224.5099015,94.84099192,27.5573764,0.343848068,224.8004655,0.122744593
FCNSW_175_2020-10-13_T3_P3,FCNSW_175,FC NSW 1033,13/10/20,3,3,144.42555,-35.86226,83.300003,7.14,0.400002,6.60462236,-0.00868988,1.24843967,0.464881808,0.012341132,0.15478842,-17.40405083,-10.89387321,0.433141649,n,0,30,"Grey box, sparse juncus, last logged >10 years ago",2829,3200,1.16,0.16,20,51,29,25,43,32,Silty clay loam,5.5,4.4,0.081,13.26,16.61478,709.92,688.5,167.28,234.6,26724,0,0,729.3,0,18.36,40.8,13.26,31620,3906.6,2397,1183.2,0,198.9,19.38,295.8,16.32,121.38,0,0,52.02,n,0.02,1.02,15.6366,1.2954,-24.51,3.58,22.01905915,4.293835005,10.36423117,4.548143531,128.77,14.51,0.31,1.14,1.57,24.7962,5.22138,0.1026,0.001,27.842,72.6735,13.06,154.5555556,20.34,0.723007894,12.07086614,7.598601551,0.287937709,1.027076706,0.092,982.5175717,579.6497175,194.6477806,219.1654225,120.8845072,33.72477371,0.335802425,219.4444059,0.153878168
FCNSW_176_2020-10-13_T3_P4,FCNSW_176,FC NSW 1034,13/10/20,3,4,144.42597,-35.862151,83.5,7.34,0.599998,5.88073301,0.079368591,0.689953506,-1.712836146,0.005568054,0.189707369,-17.24544525,-11.21632957,0.43889907,n,0,30,"Very mature red gum, cherry bush",2829,2840,1.186,0.186,15,59,26,25,45,30,Silty clay loam,5.81,4.73,0.063,14.252,20.001664,1103.512,770.626,148.628,317.616,24941,0,0,1191.06,0,0,37.666,12.216,21174.4,3837.86,2545,479.478,0,160.844,18.324,270.788,16.288,128.268,0,0,47.846,n,0.018,1.018,15.68738,1.46592,-25.35,3.51,23.85406987,5.498222661,10.69375348,5.027701113,128.62,15.54,0.48,1.73,2.14,25.9081,6.38286,0.1625,0.001,28.427,72.1916,13.33,299.7777778,58.58,0.717477683,10.70138889,5.117408293,0.349727351,0.906511135,0.097,1035.514533,659.2967572,159.7449154,251.7751548,99.48633756,43.59195824,0.242295922,252.2133251,0.173138443
FCNSW_177_2020-10-14_T4_P1,FCNSW_177,FC NSW 1041,14/10/20,4,1,144.34441,-35.74825,80.510002,4.35,1.200005,5.51209164,0.236251831,2.315444231,0.175042644,-7.19E-04,0.14538607,-17.85573387,-11.78858757,0.416745454,n,0,30,"Mature RRG + saplings, Juncus, litter 75%",2829,3480,1.15,0.15,21,33,46,31,28,41,Silty clay,5.44,4.66,0.294,22.682,9.154249,1657.848,1271.223,317.548,381.47,45982.6,0,0,1711.46,0,22.682,51.55,21.651,43714.4,4598.26,3103.31,1464.02,0,487.663,27.837,403.121,22.682,150.526,0,0,59.798,n,0.031,1.031,8.71195,0.89697,-21.34,3.98,24.52237101,3.715687378,12.75292223,5.374016961,131.33,22.88,6.99,5.07,0.68,26.14616,5.148814,0.0614,7.00E-04,33.678,67.2124,10.82,117.3777778,9,0.666192224,9.712643678,13.04197531,0.204981511,1.096033934,0.109,690.5344905,446.0940118,80.34672983,183.8710258,70.5320463,18.40890157,0.180111653,184.1320263,0.100118556
FCNSW_178_2020-10-14_T4_P2,FCNSW_178,FC NSW 1042,14/10/20,4,2,144.34441,-35.74903,79.57,3.41,0.260002,6.6422267,-0.118591309,1.536560416,-1.559445858,-0.026031157,0.304633588,-18.10451889,-12.07097244,0.407714486,n,0,30,"Mix mature and juv RRG 30%, 1% juncus, pig disturbance",2829,3430,1.174,0.174,23,25,52,34,30,36,Clay,5.48,4.48,0.08,21.546,22.307292,1504.116,995.22,182.628,326.268,28830.6,0,0,1518.48,0,0,38.988,15.39,21340.8,3006.18,2164.86,553.014,0,160.056,16.416,287.28,19.494,257.526,0,0,51.3,n,0.026,1.026,13.25592,1.15938,-28.53,3.67,31.85038326,7.24572385,14.83642452,5.796532406,106.64,27.66,18.47,1.7,1.62,16.73406,7.193286,0.1076,7.00E-04,31.347,69.6126,7.49,293.9555556,41.08,0.689509467,11.43362832,7.155685384,0.351172344,1.066949452,0.12,1010.471024,662.4349784,76.70845587,274.9167825,132.8168607,39.49345804,0.115797714,275.2141353,0.143656046
FCNSW_179_2020-10-14_T4_P3,FCNSW_179,FC NSW 1043,14/10/20,4,3,144.34407,-35.74957,79.440002,3.28,0.130005,6.15127707,0.06312561,2.136120081,-0.578973353,-0.016373023,0.29381609,-17.70751572,-11.31135559,0.422125787,n,0,30,"Mature RRG, pig disturbance, litter 80%",2829,3310,1.155,0.155,26,27,47,38,29,33,Silty clay,5.62,4.46,0.062,17.391,24.648162,1323.762,815.331,143.22,263.934,27825.6,0,0,1288.98,0,0,36.828,13.299,18311.7,3028.08,1892.55,346.797,0,142.197,14.322,232.221,17.391,138.105,0,0,46.035,n,0.023,1.023,15.45753,1.27875,-27.42,3.34,19.28331309,3.761632039,9.309444708,3.854078048,65.92,11.69,7.3,1.21,0.57,17.97411,4.842882,0.1252,9.00E-04,29.206,71.6776,3.18,139.8,13.86,0.710498039,12.088,10.08658009,0.285761806,1.049512195,0.103,679.726097,431.7818936,63.58995277,181.2327615,73.0935552,18.25755795,0.14727332,181.4825449,0.100740936
FCNSW_180_2020-10-14_T4_P4,FCNSW_180,FC NSW 1044,14/10/20,4,4,144.34419,-35.75001,79.309998,3.14999,0,6.41605902,0.007492065,0.527038217,-0.417824209,-0.011131082,0.284844965,-17.56635857,-11.78699875,0.427249849,n,0,30,"60% mature RRG, disturbance by pigs, 40% litter",2829,3810,1.154,0.154,21,31,49,31,32,37,Silty clay,5.38,4.39,0.084,17.374,25.47335,1283.632,766.5,134.904,273.896,27900.6,0,0,1175.3,0,0,38.836,14.308,18396,3209.08,1890.7,388.36,0,140.014,16.352,245.28,18.396,136.948,0,0,47.012,n,0.022,1.022,10.55726,1.21618,-26.44,2.94,19.69587285,3.635285958,9.28977845,3.950787315,75.75,17.09,13.92,1.01,0.64,14.96208,4.83406,0.1126,9.00E-04,28.772,71.9709,2.16,181.2222222,15.18,0.71440171,8.680672269,11.93822281,0.274556694,1.206702015,0.104,641.9715889,381.8066,54.19601546,151.054746,66.97522315,18.04511126,0.141946251,151.3241757,0.119460737
FCNSW_181_2020-10-14_T5_P1,FCNSW_181,FC NSW 1051,14/10/20,5,1,144.29449,-35.72734,80.019997,3.85999,1.099998,6.9005394,0.04964447,0.495429456,1.667062998,0.008091221,0.307988465,-18.87875557,-12.33918381,0.379609495,n,0,30,"RRG 20%, litter 50%",2829,4290,1.095,0.095,31,47,22,38,41,21,Silty loam,6.14,4.81,0.072,7.098,10.604412,673.296,574.938,178.464,129.792,16122.6,0,0,776.724,0,0,25.35,0,18759,2433.6,1622.4,613.47,0,184.548,12.168,190.632,12.168,43.602,0,0,31.434,n,0.014,1.014,9.3288,0.95316,-25.88,3.41,13.24610418,2.309954756,6.546159641,3.260473011,74.76,7.17,0.22,0.22,0.22,8.65956,4.366284,0.179,0.0011,26.91,73.3525,6.73,159.9555556,21.16,0.731604538,9.787234043,7.559336274,0.235550248,1.452746554,0.042,412.5129573,232.0962278,85.67751729,92.80506803,32.00068317,5.657160576,0.369146531,92.98185053,0.060957453
