CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,TWI,TPI,Slope,planCurv,proCurv,NDVI,VH,VV,Wet,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotOC,TotN,d13C,d15N,MTOC,POC,HOC,ROC,DOC,DTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b,DON,MBC,MBN,MicY,CN,MicCN,Vuln,BD0_30,bdm
FCNSW_091_2019-11-05_T2_P3,FCNSW_091,FC NSW 1023,2019-11-05,2,3,144.384195,-35.780728,80.694283,4.53428,0.674286,6.10975552,-0.022270203,0.474723637,0.142543212,-0.011416793,0.322834641,-16.83475304,-11.27229118,0.560039222,m,0,30,Mainly young RRG 30%; many branches; sedges 5%; Themeda; Litter 90%,2829,3140,1.171,0.171,18,46,36,25,39,35,Silty clay loam,5.95,4.32,0.0819,15.450000000000001,15.113190000000001,842.5400000000001,827.09,166.86,265.74,29767,0,0,834.3000000000001,0,17.51,42.230000000000004,13.39,34814,3708,2358.7000000000003,1287.5,0,166.86,19.57,397.58,17.51,139.05,0,0,51.5,n,0.03,1.03,15.686900000000001,1.5759,-26.79,4.75,24.5867037654,4.04972637231,11.9199018781,5.56663147225,78.87,13.05,4.152,1.09,1.408,22.680600000000002,8.12052,0.1173,8e-4,32.492,68.911,7.808000000000001,317.88888888888886,28.54,0.6795755549638571,9.954248366013072,11.138363310752938,0.23159115023956095,0.9867302933898904,0.111
FCNSW_092_2019-11-05_T2_P4,FCNSW_092,FC NSW 1024,2019-11-05,2,4,144.384389,-35.780678,80.019997,3.85999,0,5.48051739,-0.021560669,4.549061775,-0.257610708,-0.013795063,0.322834641,-16.83475304,-11.27229118,0.560039222,y,0,30,Mature RRG + saplings 30%; Juncus 10%; Litter 70%,2829,3430,1.399,0.399,22,47,31,31,39,31,Silty clay loam,6.52,4.68,0.0407,13.299,17.021696999999996,802.0319999999999,707.9159999999999,147.31199999999998,161.634,23938.199999999997,0,0,775.434,0,0,36.827999999999996,12.276,26700.3,2843.9399999999996,1831.1699999999998,617.8919999999999,0,134.01299999999998,15.344999999999999,339.63599999999997,17.391,75.702,0,0,42.965999999999994,n,0.023,1.023,15.58029,0.9820799999999998,-26.26,3.5,15.14769855258,2.317998471657,7.509053675705999,3.6489738431189997,54.66,8.31,0.337,2.721,1.312,14.02533,5.699132999999999,0.1137,7e-4,35.48,66.4908,5.252000000000001,267.53333333333336,26.639999999999997,0.652057255606507,15.864583333333334,10.042542542542545,0.20774267385039552,1.1202969247083776,0.076
FCNSW_093_2019-11-05_T3_P1,FCNSW_093,FC NSW 1031,2019-11-05,3,1,144.42359,-35.862426,82.900002,6.74,0,8.41408253,-0.022506714,0.333277375,-2.000254393,-8.48e-7,0.350359142,-17.8777523,-11.88063431,0.532353222,n,0,30,"Red gum, Black box, juncus",2829,3400,1.114,0.114,25,41,34,30,40,30,Silty clay loam,6.2,4.4,0.075,15.36,10.799104,735.232,814.08,180.224,266.24,27340.8,0,0,794.624,0,20.48,39.936,15.36,33484.8,3727.36,2334.7200000000003,1392.64,0,204.8,21.504,289.79200000000003,16.384,102.4,0,0,51.2,n,0.024,1.024,20.930560000000003,1.25952,-29.72,3.33,20.18273475584,3.7170017710080003,9.849185102848,4.698568640512,90.73,13.97,1.173,1.888,2.441,19.558400000000002,8.593408,0.1105,8e-4,31.082,69.9927,10.909,405.24444444444435,27.039999999999996,0.6924848651541878,16.61788617886179,14.986850756081525,0.2555034843578201,1.0936726758571933,0.09
FCNSW_094_2019-11-05_T3_P2,FCNSW_094,FC NSW 1032,2019-11-05,3,2,144.424764,-35.862395,82.980003,6.82,0.080002,6.81765938,-0.068756104,1.581074476,-0.091420814,-0.007442566,0.342208296,-18.25694656,-11.95616722,0.522287667,n,0,30,"Red gum, grey box, juncus, ""cherry berry""",2829,3360,1.14,0.14,23,41,36,30,39,30,Silty clay loam,6.31,4.46,0.0898,16.432,13.851149,944.8399999999999,954.083,242.37199999999999,351.234,30809.999999999996,0,0,901.7059999999999,0,15.405,41.08,15.405,31734.299999999996,4241.509999999999,2577.77,1088.62,0,296.803,20.54,247.50699999999998,17.459,110.916,0,0,53.403999999999996,n,0.027,1.027,25.79824,1.29402,-26.13,3.36,19.452336044569996,2.828662726305,9.647558678627998,5.066053767124999,89.8,9.66,0.005,0.818,1.792,23.63127,7.649096,0.0931,9e-4,30.822,70.0714,8.837,280.15555555555557,26.259999999999998,0.6945092543218883,19.936507936507937,10.66852839130067,0.19224801093095786,1.072492046659597,0.097
FCNSW_095_2019-11-05_T3_P3,FCNSW_095,FC NSW 1033,2019-11-05,3,3,144.42555,-35.86226,83.300003,7.14,0.400002,6.60462236,-0.00868988,1.24843967,0.464881808,0.012341132,0.352681845,-17.1980381,-11.10735798,0.550395966,n,0,30,"Grey box, sparse juncus, last logged >10 years ago",2829,3200,1.129,0.129,20,51,29,25,43,32,Silty clay loam,5.96,4.25,0.0869,13.338000000000001,15.470028,714.096,692.5500000000001,168.264,235.98000000000002,26881.2,0,0,733.59,0,18.468,41.04,13.338000000000001,31806,3929.58,2411.1,1190.16,0,200.07,19.494,297.54,16.416,122.09400000000001,0,0,52.326,n,0.026,1.026,13.851,1.3953600000000002,-27.24,4.05,16.803722958119998,3.176329753116,8.263003519368,3.603777088878,118.81,10.63,0.493,0.682,2.002,24.942059999999998,7.1645579999999995,0.0925,8e-4,33.412,67.8131,9.455,170.46666666666667,16.459999999999997,0.6699237639676326,9.926470588235293,10.356419603078171,0.2676656675449809,1.0270767055496641,0.092
FCNSW_096_2019-11-05_T3_P4,FCNSW_096,FC NSW 1034,2019-11-05,3,4,144.42597,-35.862151,83.5,7.34,0.599998,5.88073301,0.079368591,0.689953506,-1.712836146,0.005568054,0.383130521,-16.17677116,-11.05339146,0.577505052,n,0,30,"Very mature red gum, cherry bush",2829,2840,1.142,0.142,15,59,26,25,45,30,Silty clay loam,6.49,4.98,0.1052,14.322,16.078491,1108.9319999999998,774.411,149.35799999999998,319.176,25063.499999999996,0,0,1196.9099999999999,0,0,37.851,12.276,21278.399999999998,3856.7099999999996,2557.5,481.83299999999997,0,161.634,18.413999999999998,272.118,16.368,128.898,0,0,48.080999999999996,n,0.023,1.023,26.342249999999996,1.7288699999999997,-30.45,3.63,24.06974545239,5.3293061534129995,10.9814169267,5.223959900840999,113.14,12.56,0.379,0.916,1.998,26.035349999999998,8.589108,0.1633,0.0011,30.298,70.8632,11.265,310.33333333333326,44.89999999999999,0.7004978193220326,15.236686390532546,6.911655530809205,0.3288603659222448,0.9065111346765642,0.097
FCNSW_097_2019-11-05_T4_P1,FCNSW_097,FC NSW 1041,2019-11-05,4,1,144.34441,-35.74825,80.510002,4.35,1.200005,5.51209164,0.236251831,2.315444231,0.175042644,-7.19239e-4,0.285714298,-19.7557869,-14.06621075,0.482501537,n,0,30,"Mature RRG + saplings, Juncus, litter 75%",2829,3480,1.155,0.155,21,33,46,31,28,41,Silty clay,6,4.64,0.2617,22.748,11.240614,1662.672,1274.922,318.47200000000004,382.58,46116.4,0,0,1716.44,0,22.748,51.7,21.714000000000002,43841.6,4611.64,3112.34,1468.28,0,489.082,27.918,404.29400000000004,22.748,150.964,0,0,59.972,n,0.034,1.034,17.97092,1.62338,-25.05,4.77,27.25955610004,3.8414683147060003,12.83881999818,6.994462203344001,141.81,24.99,1.823,7.018,1.81,26.22224,11.562188,0.10780000000000001,0.001,34.519,66.9591,16.148999999999997,282.6,24.160000000000004,0.6598379354757332,11.070063694267516,11.697019867549669,0.1936879773944234,1.096033934252386,0.109
FCNSW_098_2019-11-05_T4_P2,FCNSW_098,FC NSW 1042,2019-11-05,4,2,144.34441,-35.74903,79.57,3.41,0.260002,6.6422267,-0.118591309,1.536560416,-1.559445858,-0.026031157,0.333097339,-18.43785667,-12.09235001,0.51748544,n,0,30,"Mix mature and juv RRG 30%, 1% juncus, pig disturbance",2829,3430,1.171,0.171,23,25,52,34,30,36,Clay,5.89,4.43,0.1003,21.672,19.271568,1512.912,1001.0400000000001,183.696,328.176,28999.2,0,0,1527.3600000000001,0,0,39.216,15.48,21465.600000000002,3023.76,2177.52,556.248,0,160.99200000000002,16.512,288.96000000000004,19.608,259.032,0,0,51.6,n,0.032,1.032,3.52944,0.20640000000000003,-17.61,0.03,28.05159822936,4.741354791216,13.54618828608,6.589842667752,80.56,19.34,14.364,1.123,1.247,16.83192,7.422144,0.1029,8e-4,33.658,67.8469,3.852999999999998,320.22222222222223,25.979999999999997,0.6684100964583976,17.099999999999998,12.3257206398084,0.2354662049381531,1.0669494521032168,0.12
FCNSW_099_2019-11-05_T4_P3,FCNSW_099,FC NSW 1043,2019-11-05,4,3,144.34407,-35.74957,79.440002,3.28,0.130005,6.15127707,0.06312561,2.136120081,-0.578973353,-0.016373023,0.35918811,-18.09561539,-12.3162384,0.526570141,n,0,30,"Mature RRG, pig disturbance, litter 80%",2829,3310,1.143,0.143,26,27,47,38,29,33,Silty clay,6.06,4.49,0.0876,17.493,26.386647,1331.5259999999998,820.1129999999999,144.06,265.48199999999997,27988.8,0,0,1296.54,0,0,37.044,13.376999999999999,18419.1,3045.8399999999997,1903.6499999999999,348.83099999999996,0,143.03099999999998,14.405999999999999,233.58299999999997,17.493,138.915,0,0,46.30499999999999,n,0.029,1.029,20.734349999999996,1.25538,-27.12,2.64,18.84185995776,2.837465438913,9.111001601898,4.750839954020999,68.41,15.84,11.473,1.407,1.14,18.07953,4.849677,0.1207,9e-4,31.732,69.4447,2.959999999999999,291.0888888888889,23.880000000000003,0.686370478578566,16.51639344262295,12.18965196352131,0.20469613849405197,1.0495121951219513,0.103
FCNSW_100_2019-11-05_T4_P4,FCNSW_100,FC NSW 1044,2019-11-05,4,4,144.34419,-35.75001,79.309998,3.14999,0,6.41605902,0.007492065,0.527038217,-0.417824209,-0.011131082,0.329815298,-18.33200455,-12.83047867,0.520295262,n,0,30,"60% mature RRG, disturbance by pigs, 40% litter",2829,3810,1.16,0.16,21,31,49,31,32,37,Silty clay,6.08,4.37,0.0815,17.493,27.41256,1292.424,771.7499999999999,135.82799999999997,275.772,28091.699999999997,0,0,1183.35,0,0,39.102,14.405999999999999,18522,3231.06,1903.6499999999999,391.02,0,140.97299999999998,16.464,246.95999999999998,18.522,137.886,0,0,47.333999999999996,n,0.029,1.029,9.538829999999999,1.1627699999999999,-28.81,3.51,17.768223522419998,3.1355356384169997,8.689753341864,3.384934754292,46.7,10.11,4.262,0.881,0.986,15.06456,5.949678,0.1227,8e-4,34.424,67.2852,4.967,256.4222222222222,15.480000000000004,0.6615448749965588,8.20353982300885,16.56474303761125,0.2596783961165178,1.2067020148462355,0.104
FCNSW_101_2019-11-05_T5_P1,FCNSW_101,FC NSW 1051,2019-11-05,5,1,144.29449,-35.72734,80.019997,3.85999,1.099998,6.9005394,0.04964447,0.495429456,1.667062998,0.008091221,0.238456666,-20.0895195,-14.59629726,0.473642737,n,0,30,"RRG 20%, litter 50%",2829,4290,1.099,0.099,31,47,22,38,41,21,Silty loam,6.75,4.93,0.0755,7.119,5.4114569999999995,675.2879999999999,576.6389999999999,178.992,130.176,16170.3,0,0,779.0219999999999,0,0,25.424999999999997,0,18814.5,2440.7999999999997,1627.1999999999998,615.285,0,185.094,12.203999999999999,191.19599999999997,12.203999999999999,43.730999999999995,0,0,31.526999999999997,n,0.017,1.017,12.80403,0.78309,-29.08,5.16,11.477077150589999,1.6789856155919998,5.4725608292759995,3.2070334639949993,36.57,6.61,0.365,0.757,0.795,8.685179999999999,4.772780999999999,0.1308,0.001,30.596,70.6552,5.488,182.4666666666667,20.1,0.6978208653329541,16.35064935064935,9.077943615257048,0.19344056402424956,1.452746553552492,0.042
