Wavenumber, SS8.spa
7999.27978515625,0.7960495948791504
7995.422851794868,0.8005473017692566
7991.5659184334845,0.8041365146636963
7987.708985072102,0.8089367747306824
7983.852051710719,0.8190258145332336
7979.995118349337,0.8376673460006714
7976.138184987954,0.8232902884483337
7972.281251626571,0.8030005693435669
7968.424318265189,0.8035375475883484
7964.567384903806,0.8155204653739929
7960.7104515424235,0.8172606825828552
7956.853518181041,0.8059093952178955
7952.996584819658,0.8056918382644653
7949.139651458276,0.8245902061462402
7945.2827180968925,0.8321280479431152
7941.42578473551,0.822097659111023
7937.568851374128,0.815540611743927
7933.711918012745,0.811292827129364
7929.854984651362,0.807177722454071
7925.998051289979,0.8103657364845276
7922.141117928597,0.8015456199645996
7918.284184567215,0.7955753803253174
7914.427251205831,0.8132863640785217
7910.570317844449,0.8217945098876953
7906.713384483066,0.8119747638702393
7902.856451121684,0.8064616918563843
7898.999517760301,0.8027881383895874
7895.142584398918,0.8046748042106628
7891.285651037536,0.8060151934623718
7887.428717676153,0.8010663390159607
7883.57178431477,0.8118266463279724
7879.714850953388,0.8340346217155457
7875.857917592005,0.8318063020706177
7872.000984230623,0.8184270262718201
7868.144050869239,0.8179920315742493
7864.287117507857,0.7949671745300293
7860.430184146475,0.7907342910766602
7856.573250785092,0.8059542775154114
7852.716317423709,0.8117101192474365
7848.859384062326,0.8217025399208069
7845.002450700944,0.8301087617874146
7841.145517339562,0.8305233120918274
7837.288583978178,0.8278170228004456
7833.431650616796,0.8122985363006592
7829.574717255413,0.7949972152709961
7825.717783894031,0.7786849141120911
7821.860850532648,0.7877444624900818
7818.003917171265,0.8103528618812561
7814.146983809883,0.8091580867767334
7810.2900504485,0.7908979654312134
7806.433117087117,0.7868409156799316
7802.576183725735,0.8014219999313354
7798.719250364352,0.8027408719062805
7794.86231700297,0.7963548302650452
7791.005383641586,0.7932983040809631
7787.148450280204,0.8006560802459717
7783.291516918822,0.8047428727149963
7779.434583557439,0.8006904721260071
7775.577650196056,0.7998972535133362
7771.720716834673,0.7978193163871765
7767.863783473291,0.7962731719017029
7764.0068501119085,0.7963393926620483
7760.149916750525,0.7966499328613281
7756.292983389143,0.7908533215522766
7752.43605002776,0.7953089475631714
7748.579116666378,0.805641770362854
7744.722183304995,0.7977031469345093
7740.865249943612,0.8028061389923096
7737.00831658223,0.8194369077682495
7733.151383220847,0.822069525718689
7729.294449859464,0.818979799747467
7725.437516498082,0.8169064521789551
7721.580583136699,0.8151827454566956
7717.7236497753165,0.8118664622306824
7713.866716413933,0.7965827584266663
7710.009783052551,0.7967508435249329
7706.152849691169,0.813578724861145
7702.2959163297855,0.8117918372154236
7698.438982968403,0.7999451756477356
7694.58204960702,0.7920113801956177
7690.725116245638,0.790299117565155
7686.868182884255,0.8021226525306702
7683.011249522872,0.8148212432861328
7679.15431616149,0.8133209943771362
7675.297382800107,0.8054676055908203
7671.4404494387245,0.8031165599822998
7667.583516077342,0.7995601892471313
7663.726582715959,0.7957799434661865
7659.869649354577,0.7982054352760315
7656.0127159931935,0.7973335981369019
7652.155782631811,0.7962819933891296
7648.298849270428,0.7984377145767212
7644.441915909046,0.8015732765197754
7640.5849825476635,0.796420156955719
7636.72804918628,0.7968898415565491
7632.871115824898,0.8043176531791687
7629.014182463516,0.8049705624580383
7625.1572491021325,0.802602231502533
7621.30031574075,0.8088183999061584
7617.443382379367,0.8092896342277527
7613.586449017985,0.798733651638031
7609.7295156566015,0.8031757473945618
7605.872582295219,0.8154814839363098
7602.015648933837,0.8021915555000305
7598.158715572454,0.7945249080657959
7594.301782211071,0.7918695211410522
7590.444848849689,0.7912999391555786
7586.587915488306,0.7975643873214722
7582.730982126924,0.8013501763343811
7578.8740487655405,0.8053666949272156
7575.017115404158,0.8015453219413757
7571.160182042775,0.7955042123794556
7567.303248681393,0.7964869737625122
7563.44631532001,0.7982007265090942
7559.589381958627,0.8013306260108948
7555.732448597245,0.8074645400047302
7551.875515235863,0.811056911945343
7548.018581874479,0.8129702806472778
7544.161648513097,0.8100886344909668
7540.304715151714,0.8040857911109924
7536.447781790332,0.8053742051124573
7532.590848428948,0.8107015490531921
7528.733915067566,0.8215944766998291
7524.876981706184,0.8231039047241211
7521.020048344801,0.8126375079154968
7517.163114983418,0.8117898106575012
7513.306181622036,0.8088867664337158
7509.449248260653,0.8110470771789551
7505.592314899271,0.8090335130691528
7501.735381537887,0.8084781169891357
7497.878448176505,0.8021233677864075
7494.021514815122,0.7964069843292236
7490.16458145374,0.7989558577537537
7486.307648092357,0.8091514110565186
7482.450714730974,0.8096716403961182
7478.593781369592,0.8092336654663086
7474.73684800821,0.8059666156768799
7470.879914646826,0.809159517288208
7467.022981285444,0.8112142086029053
7463.166047924061,0.803221583366394
7459.309114562679,0.8043060302734375
7455.452181201295,0.8120501637458801
7451.595247839913,0.8091446757316589
7447.738314478531,0.7997017502784729
7443.881381117148,0.801145613193512
7440.024447755765,0.8073304295539856
7436.167514394383,0.8024142980575562
7432.310581033,0.789766252040863
7428.453647671618,0.7891436815261841
7424.596714310234,0.8001515865325928
7420.739780948852,0.8125553131103516
7416.882847587469,0.8180925846099854
7413.025914226087,0.8088918924331665
7409.168980864704,0.7991884350776672
7405.312047503321,0.8029081225395203
7401.455114141939,0.8068388104438782
7397.5981807805565,0.8093699812889099
7393.741247419173,0.8107264637947083
7389.884314057791,0.8029099106788635
7386.027380696408,0.7963612675666809
7382.1704473350255,0.7985286712646484
7378.313513973642,0.8041459918022156
7374.45658061226,0.8122231364250183
7370.599647250878,0.8135936260223389
